iter	Logloss
0	0.6828570382
1	0.6655089912
2	0.6501013235
3	0.6338410868
4	0.6191243653
5	0.6049427076
6	0.593867338
7	0.5832855231
8	0.5738465555
9	0.557525045
10	0.5450603246
11	0.5380452621
12	0.5316950476
13	0.5258258176
14	0.5120069631
15	0.5002201343
16	0.4959073835
17	0.4869404175
18	0.4792048045
19	0.4716521933
20	0.4662310262
21	0.4634121838
22	0.4564174607
23	0.4528841374
24	0.4445536899
25	0.439881818
26	0.4324809545
27	0.4293180894
28	0.4222718432
29	0.4196689457
30	0.4164342807
31	0.4086802747
32	0.4049024332
33	0.4009124854
34	0.3966509632
35	0.3906698705
36	0.3884215252
37	0.3835495734
38	0.3813336264
39	0.3778829355
40	0.3759667288
41	0.373541642
42	0.3686222978
43	0.3665976446
44	0.3613357204
45	0.358435286
46	0.3559172583
47	0.3528020645
48	0.3502249155
49	0.3484522572
50	0.3472548525
51	0.3437833767
52	0.3412153354
53	0.3382537291
54	0.3365162433
55	0.3343605485
56	0.3319549731
57	0.3277491414
58	0.3262373868
59	0.3225659218
60	0.3203702053
61	0.3194264241
62	0.3178204167
63	0.31533458
64	0.3140305662
65	0.3116014276
66	0.3107732916
67	0.3094742132
68	0.3084306538
69	0.3070934896
70	0.305188851
71	0.3031558773
72	0.3010580415
73	0.2997638275
74	0.2980758921
75	0.2963271228
76	0.2948207656
77	0.2925294725
78	0.2911558332
79	0.2899128431
80	0.2895449218
81	0.2870580844
82	0.2860659916
83	0.2841207904
84	0.2818165498
85	0.2803551914
86	0.2785251669
87	0.276219257
88	0.2743558144
89	0.2731787923
90	0.2717666343
91	0.2707671486
92	0.2687818111
93	0.2672583364
94	0.2658641517
95	0.2642421349
96	0.2633839938
97	0.2624312742
98	0.2597544806
99	0.2576463044
100	0.2571461329
101	0.2566406661
102	0.2560723251
103	0.2548498159
104	0.2541657922
105	0.252637778
106	0.2506290808
107	0.2496918481
108	0.2488201214
109	0.2480754448
110	0.2466741026
111	0.2445053931
112	0.2438758245
113	0.2421203335
114	0.2405170334
115	0.2397399838
116	0.2384512523
117	0.2364092612
118	0.2344636397
119	0.2335476335
120	0.2330049135
121	0.2324478059
122	0.2312412073
123	0.229995221
124	0.2295039891
125	0.228680896
126	0.2275101915
127	0.2256825649
128	0.2251616814
129	0.2223446654
130	0.2210930497
131	0.2191743995
132	0.218550709
133	0.2179585869
134	0.2140690414
135	0.2135319568
136	0.2119370761
137	0.2116423948
138	0.211231966
139	0.21060422
140	0.2098103639
141	0.2088308887
142	0.2080934527
143	0.2076184837
144	0.2063811231
145	0.2056058006
146	0.2049909213
147	0.2040659536
148	0.2032497632
149	0.2021905001
150	0.201334009
151	0.2009938471
152	0.2000328406
153	0.1994687114
154	0.1982762596
155	0.1963398552
156	0.1958512995
157	0.1952041835
158	0.1942091344
159	0.1926513388
160	0.1920823752
161	0.1902874483
162	0.1898882893
163	0.1885488721
164	0.1882486348
165	0.1868889677
166	0.1862989784
167	0.1853093245
168	0.1836488437
169	0.1831528962
170	0.1817300041
171	0.1810443319
172	0.1806037636
173	0.1796414613
174	0.1793639489
175	0.1784168955
176	0.1780504457
177	0.1770168244
178	0.1767390952
179	0.1760327588
180	0.1748305418
181	0.1732342021
182	0.1727627786
183	0.1723007625
184	0.171828076
185	0.1703742426
186	0.169300775
187	0.168739052
188	0.1679304796
189	0.1677619754
190	0.1670296647
191	0.1662281294
192	0.1653224523
193	0.1634796713
194	0.1629491998
195	0.1625919181
196	0.1621874918
197	0.161299807
198	0.1609421396
199	0.1603391334
200	0.1595528714
201	0.1592431421
202	0.1584436258
203	0.1578391541
204	0.1567102664
205	0.1557413089
206	0.1550455214
207	0.1547491215
208	0.1543959051
209	0.1543190819
210	0.1532915456
211	0.1521868937
212	0.1515100787
213	0.1512580483
214	0.150687041
215	0.149725457
216	0.1481484015
217	0.1474376119
218	0.1466455367
219	0.1458358724
220	0.1453039514
221	0.1449794007
222	0.1434076685
223	0.1430378889
224	0.1429152536
225	0.1427199319
226	0.1425119078
227	0.1422308844
228	0.1413534941
229	0.1402957629
230	0.1402050864
231	0.1401020744
232	0.1399154404
233	0.1398716246
234	0.1393505599
235	0.1391601667
236	0.1381854819
237	0.1381079488
238	0.1378269436
239	0.1376167859
240	0.1375316401
241	0.1369126675
242	0.1359624782
243	0.1354448973
244	0.1349981684
245	0.1348989012
246	0.1335923802
247	0.1332992111
248	0.1326637276
249	0.1325573549
250	0.1324086675
251	0.1316108543
252	0.1301577757
253	0.1294954458
254	0.1290509469
255	0.1278846487
256	0.1272914055
257	0.1258455956
258	0.1251316245
259	0.1241372094
260	0.1235841952
261	0.1234205094
262	0.122447842
263	0.1210831043
264	0.120677612
265	0.1197505751
266	0.1189981314
267	0.1177453494
268	0.1169907052
269	0.1159984016
270	0.115777604
271	0.1151103516
272	0.114573155
273	0.1136926713
274	0.1125485262
275	0.111183131
276	0.1103538655
277	0.1096498982
278	0.1094726582
279	0.1090007071
280	0.1082777186
281	0.1074888788
282	0.1070477345
283	0.106313797
284	0.1061293165
285	0.1056868897
286	0.105329375
287	0.1043056647
288	0.1035329159
289	0.1026897189
290	0.1021578654
291	0.1015445169
292	0.100886644
293	0.1000660459
294	0.09971428659
295	0.09880897395
296	0.09861529984
297	0.09791845086
298	0.09777384542
299	0.09686010157
