iter	Passed	Remaining
0	1	581
1	3	559
2	5	551
3	7	543
4	9	540
5	11	543
6	13	549
7	15	554
8	17	553
9	19	560
10	21	566
11	23	567
12	25	566
13	27	570
14	30	573
15	32	572
16	34	572
17	36	571
18	38	568
19	40	565
20	42	561
21	44	560
22	46	559
23	48	559
24	50	556
25	52	554
26	54	551
27	56	549
28	58	547
29	60	544
30	62	543
31	64	541
32	66	538
33	68	536
34	70	534
35	72	532
36	74	529
37	76	529
38	78	527
39	80	524
40	82	522
41	84	520
42	86	517
43	88	515
44	90	513
45	92	510
46	94	508
47	96	506
48	98	504
49	100	502
50	102	500
51	104	498
52	106	495
53	108	493
54	110	492
55	112	489
56	114	487
57	116	485
58	118	482
59	120	480
60	122	478
61	124	476
62	126	474
63	128	472
64	130	470
65	132	468
66	134	466
67	136	464
68	138	462
69	140	460
70	142	458
71	144	456
72	146	454
73	148	452
74	150	450
75	152	448
76	154	447
77	156	445
78	158	444
79	161	443
80	163	441
81	165	438
82	166	436
83	169	434
84	171	432
85	173	430
86	175	428
87	176	426
88	178	424
89	181	422
90	183	420
91	185	418
92	187	416
93	189	414
94	191	412
95	192	409
96	194	407
97	196	405
98	198	403
99	200	401
100	202	399
101	204	397
102	206	394
103	208	392
104	210	390
105	212	388
106	214	386
107	216	384
108	218	382
109	219	379
110	221	377
111	223	375
112	225	373
113	227	371
114	229	369
115	231	367
116	233	365
117	235	363
118	237	361
119	239	359
120	241	357
121	243	355
122	245	353
123	247	351
124	249	348
125	251	346
126	252	344
127	254	342
128	256	340
129	259	338
130	261	336
131	263	335
132	265	333
133	267	331
134	269	329
135	271	327
136	273	325
137	275	323
138	278	322
139	280	320
140	282	318
141	283	315
142	285	313
143	287	311
144	289	309
145	291	307
146	293	305
147	295	303
148	297	301
149	299	299
150	301	297
151	303	295
152	305	293
153	307	291
154	309	289
155	311	287
156	313	285
157	315	283
158	317	281
159	318	279
160	321	277
161	323	275
162	325	273
163	327	271
164	329	269
165	330	267
166	332	265
167	334	263
168	336	261
169	338	259
170	340	257
171	342	255
172	344	253
173	346	251
174	348	249
175	350	247
176	352	245
177	354	243
178	356	241
179	358	239
180	361	237
181	363	235
182	365	233
183	367	231
184	369	229
185	371	227
186	373	225
187	375	223
188	377	221
189	379	219
190	381	217
191	383	215
192	385	213
193	387	211
194	389	209
195	391	207
196	393	205
197	395	203
198	397	201
199	399	199
200	401	197
201	402	195
202	404	193
203	406	191
204	408	189
205	410	187
206	412	185
207	413	183
208	415	181
209	418	179
210	420	177
211	422	175
212	423	173
213	425	171
214	427	169
215	430	167
216	432	165
217	434	163
218	436	161
219	438	159
220	439	157
221	442	155
222	444	153
223	445	151
224	447	149
225	449	147
226	451	145
227	453	143
228	455	141
229	457	139
230	459	137
231	461	135
232	463	133
233	465	131
234	467	129
235	469	127
236	471	125
237	473	123
238	475	121
239	476	119
240	478	117
241	480	115
242	482	113
243	484	111
244	486	109
245	488	107
246	490	105
247	492	103
248	493	101
249	495	99
250	497	97
251	499	95
252	501	93
253	503	91
254	505	89
255	507	87
256	509	85
257	511	83
258	513	81
259	515	79
260	517	77
261	519	75
262	520	73
263	522	71
264	524	69
265	526	67
266	528	65
267	530	63
268	532	61
269	533	59
270	535	57
271	537	55
272	539	53
273	541	51
274	543	49
275	545	47
276	547	45
277	548	43
278	550	41
279	552	39
280	554	37
281	556	35
282	558	33
283	560	31
284	562	29
285	564	27
286	566	25
287	568	23
288	569	21
289	571	19
290	573	17
291	575	15
292	577	13
293	578	11
294	581	9
295	582	7
296	584	5
297	586	3
298	588	1
299	590	0
