outer_fold,inner_fold,selected_features,brier_score
1,1,"['relative risk', 'QRISK3', 'ЭХО ЗС перед ТП', 'ЭХО СДЛА перед ТП']",0.17170556202955511
1,2,"['relative risk', 'ЭХО ЗС перед ТП', 'ЛПНП перед ТП', 'Диагноз']",0.07498071633809993
1,3,"['relative risk', 'ЭХО ЗС перед ТП']",0.06065932141727769
1,4,"['relative risk', 'ЭХО ЛП перед ТП', 'Диагноз', 'САД перед ТП', 'ЭХО МЖП перед ТП']",0.17991297142534068
1,5,"['relative risk', 'ЭХО СДЛА перед ТП', 'САД перед ТП', 'ЭХО ЗС перед ТП']",0.13271115362050234
2,1,"['relative risk', 'ЭХО ЛП перед ТП', 'ЛПНП перед ТП', 'Диагноз', 'ЭХО ЗС перед ТП', 'ОТТ перед ТП', 'Пол']",0.06611107985107742
2,2,"['relative risk', 'ЛПНП перед ТП', 'стадия ХСН перед ТП', 'ЭХО СДЛА перед ТП']",0.10041439881937592
2,3,"['relative risk', 'ЛПНП перед ТП', 'Пол', 'Диагноз', 'ЭХО ЗС перед ТП']",0.05243937007075257
2,4,"['relative risk', 'ЭХО ЛП перед ТП', 'Диагноз', 'ОТТ перед ТП', 'ЭХО МЖП перед ТП', 'ЭХО ЗС перед ТП', 'Пол']",0.2202012209533205
2,5,"['relative risk', 'ЛПНП перед ТП', 'Диагноз', 'ЭХО ЗС перед ТП', 'ЭХО ЛП перед ТП', 'Мочевая кислота перед ТП']",0.09357992366879628
3,1,"['relative risk', 'ЛПНП перед ТП', 'ЭХО ЛП перед ТП', 'Диагноз', 'САД перед ТП']",0.0871700632700377
3,2,"['ЛПНП перед ТП', 'relative risk', 'ЭХО ЛП перед ТП', 'Диагноз', 'ЭХО ЗС перед ТП', 'ЭХО МЖП перед ТП']",0.06339314423864667
3,3,"['relative risk', 'ЛПНП перед ТП', 'ЭХО ЛП перед ТП', 'Диагноз']",0.07303145344689675
3,4,"['relative risk', 'ЭХО ЛП перед ТП', 'Диагноз', 'ЛПНП перед ТП', 'ЭХО МЖП перед ТП', 'ОТТ перед ТП']",0.2057650758107403
3,5,"['relative risk', 'ЛПНП перед ТП', 'Диагноз', 'ЭХО ЛП перед ТП']",0.09779007076367327
4,1,"['relative risk', 'Мочевая кислота перед ТП', 'Пол', 'ЭХО ЗС перед ТП', 'ОТТ перед ТП']",0.12670282753251527
4,2,"['relative risk', 'ЭХО ЗС перед ТП', 'Диагноз', 'ОТТ перед ТП', 'ЭХО КДР перед ТП', 'стадия ХСН перед ТП']",0.10767865228876906
4,3,"['relative risk', 'Пол', 'Диагноз', 'Мочевая кислота перед ТП', 'ОТТ перед ТП', 'ЭХО КДР перед ТП']",0.09132845068544496
4,4,"['relative risk', 'ОТТ перед ТП', 'ЭХО ЛП перед ТП', 'Диагноз', 'Пол', 'ЭХО МЖП перед ТП']",0.22657098413791682
4,5,"['relative risk', 'ЭХО ЗС перед ТП', 'ЛПНП перед ТП', 'Диагноз', 'Пол', 'ДАД перед ТП']",0.11079219876450729
5,1,"['relative risk', 'ЛПНП перед ТП', 'ЭХО ЗС перед ТП', 'САД перед ТП', 'стадия ХСН перед ТП']",0.08182026741062376
5,2,"['relative risk', 'ЭХО ЗС перед ТП', 'САД перед ТП', 'Диагноз', 'ЭХО МЖП перед ТП', 'стадия ХСН перед ТП']",0.06242506120594745
5,3,"['relative risk', 'ЛПНП перед ТП', 'Мочевая кислота перед ТП', 'Пол', 'САД перед ТП', 'стадия ХСН перед ТП', 'ЭХО ЗС перед ТП']",0.09331102129863177
5,4,"['relative risk', 'ЭХО ЛП перед ТП', 'Диагноз', 'САД перед ТП', 'ЛПНП перед ТП', 'Пол', 'ЭХО МЖП перед ТП']",0.21115349616112714
5,5,"['relative risk', 'ЛПНП перед ТП', 'ЭХО ЗС перед ТП', 'Диагноз', 'ЭХО СДЛА перед ТП']",0.11198795688887139
