,missing_rate
Исход,0.0
ЭХО ЛП перед ТП,0.0
relative risk,0.0
healthy person risk,0.0
QRISK3,0.0
ДАД перед ТП,0.0
САД перед ТП,0.0
ОТТ перед ТП,0.0
ЭХО ИММЛЖ перед ТП,0.0
ЭХО ММЛЖ перед ТП,0.0
ЭХО ФВ перед ТП,0.0
ЭХО СДЛА перед ТП,0.0
ЭХО ЗС перед ТП,0.0
ЭХО МЖП перед ТП,0.0
ЭХО КДР перед ТП,0.0
Мочевая кислота перед ТП,0.0
Пол,0.0
ТГ перед ТП,0.0
ЛПВП перед ТП,0.0
ЛПНП перед ТП,0.0
ОХ перед ТП,0.0
КАГ до ТП,0.0
стадия ХСН перед ТП,0.0
ИМ до ТП,0.0
ТЭЛА до ТП,0.0
ОНМК до ТП,0.0
ХНС до ТП,0.0
ИБС до ТП,0.0
Донор,0.0
Диагноз,0.0
qrisk age,0.0
