model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.14360103011131287,32,41,2,116,0.9411764705882353,0.7388535031847133
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.1427624374628067,32,41,2,116,0.9411764705882353,0.7388535031847133
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.14005382359027863,32,41,2,116,0.9411764705882353,0.7388535031847133
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.14003469049930573,32,41,2,116,0.9411764705882353,0.7388535031847133
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.13190023601055145,32,41,2,116,0.9411764705882353,0.7388535031847133
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.13190023601055145,32,41,2,116,0.9411764705882353,0.7388535031847133
xgboost,0.0,0,0,80,3,0.03,1.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.11613062024116516,32,41,2,116,0.9411764705882353,0.7388535031847133
xgboost,0.0,0,0,80,3,0.03,1.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.09098785370588303,32,41,2,116,0.9411764705882353,0.7388535031847133
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.13672666251659393,32,42,2,115,0.9411764705882353,0.732484076433121
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.13672666251659393,32,42,2,115,0.9411764705882353,0.732484076433121
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.1281900256872177,32,42,2,115,0.9411764705882353,0.732484076433121
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.1281900256872177,32,42,2,115,0.9411764705882353,0.732484076433121
catboost,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100,3,0.05,1.0,0.12057126022960192,32,42,2,115,0.9411764705882353,0.732484076433121
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.10695615410804749,32,42,2,115,0.9411764705882353,0.732484076433121
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.1068258211016655,32,42,2,115,0.9411764705882353,0.732484076433121
xgboost,0.0,0,0,80,3,0.03,1.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.09633197635412216,32,42,2,115,0.9411764705882353,0.732484076433121
xgboost,0.0,0,0,80,4,0.03,1.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.09223132580518723,32,42,2,115,0.9411764705882353,0.732484076433121
xgboost,0.0,0,0,80,4,0.03,1.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.09100471436977386,32,42,2,115,0.9411764705882353,0.732484076433121
xgboost,0.0,0,0,50,3,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.16477321088314056,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,50,4,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.16477321088314056,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.1464797556400299,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.1464797556400299,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.13511379063129425,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.13511379063129425,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.13467617332935333,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.13467499613761902,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,3,0.02,1.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.11967190355062485,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,3,0.03,1.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.11641373485326767,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,3,0.03,1.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.11220258474349976,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.10604633390903473,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.10601913183927536,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,4,0.03,1.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.09003568440675735,32,43,2,114,0.9411764705882353,0.7261146496815286
xgboost,0.0,0,0,80,3,0.03,1.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.08993078768253326,32,43,2,114,0.9411764705882353,0.7261146496815286
catboost,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100,3,0.03,1.0,0.15101513063058072,32,44,2,113,0.9411764705882353,0.7197452229299363
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.14871589839458466,32,44,2,113,0.9411764705882353,0.7197452229299363
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.14871589839458466,32,44,2,113,0.9411764705882353,0.7197452229299363
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.14628256857395172,32,44,2,113,0.9411764705882353,0.7197452229299363
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.14628256857395172,32,44,2,113,0.9411764705882353,0.7197452229299363
catboost,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100,3,0.05,3.0,0.13398167494539798,32,44,2,113,0.9411764705882353,0.7197452229299363
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.12226034700870514,32,44,2,113,0.9411764705882353,0.7197452229299363
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.12226034700870514,32,44,2,113,0.9411764705882353,0.7197452229299363
