bin,ece_svm,ece_cat,ece_mlp,brier_svm,brier_cat,brier_mlp,n_svm,n_cat,n_mlp,mean_p_svm,mean_p_cat,mean_p_mlp,event_rate_svm,event_rate_cat,event_rate_mlp
1,0.0634708093337924,0.0804232804232804,0.1666666666666666,0.0915903979653347,0.0916637272192827,0.1666666666666666,30,21,36.0,0.0365291906662075,0.0148148148148148,0.0,0.1,0.0952380952380952,0.1666666666666666
2,0.0747124363421475,0.0911910244529034,0.002676174281483,0.00599650445491,0.1468624407758633,0.1476256874245222,9,18,155.0,0.0747124363421475,0.0754756422137631,0.1779689870088394,0.0,0.1666666666666666,0.1806451612903225
3,0.0661174044244234,0.0379164489392985,,0.054192101371423,0.0555974123216361,,19,35,,0.1187489833717919,0.0950593060821557,,0.0526315789473684,0.0571428571428571,
4,0.1275762905287285,0.1034428497215235,,0.0162810715331391,0.0107063581679458,,19,3,,0.1275762905287285,0.1034428497215235,,0.0,0.0,
5,0.0843999849479145,0.1093323163671698,,0.0568103360581942,0.0119556806226905,,19,19,,0.1370315638952829,0.1093323163671698,,0.0526315789473684,0.0,
6,0.0463264407829639,0.0169855160871584,,0.0973013573739648,0.0938805405441658,,19,19,,0.1515895986777007,0.1222486739818953,,0.1052631578947368,0.1052631578947368,
7,0.0810932966087889,0.097135278757087,,0.1992502142332705,0.0583864863863618,,19,19,,0.1820645981280531,0.1497668577044554,,0.2631578947368421,0.0526315789473684,
8,0.1530827471169128,0.0655526246221621,,0.2508578436536817,0.1465979418876484,,19,19,,0.2153383055146661,0.2234473614642674,,0.3684210526315789,0.1578947368421052,
9,0.1175347618739741,0.1349155950954242,,0.1420204975441586,0.2756249309231183,,19,19,,0.2754294987160793,0.3387686154308915,,0.1578947368421052,0.4736842105263157,
10,0.0333490754509264,0.0093064395119274,,0.2751045895394329,0.1974950938036806,,19,19,,0.5982298719174945,0.6408853868803485,,0.631578947368421,0.631578947368421,
