model,params,best_calibrator,threshold,constraint_feasible,constraint_violation,fn_inner_oof,fp_inner_oof,fnr_inner_oof,fpr_inner_oof,sens_inner_oof,spec_inner_oof,pr_auc_mean,brier_mean,roc_auc_mean,ece_mean
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32, 16], ""weight_decay"": 0.01}",platt,0.1926191550548661,0,7.333333333333333,6,44,0.2222222222222222,0.352,0.7777777777777778,0.648,0.5332855033149168,0.1423356991633234,0.7137910267991568,0.10480053607234237
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32, 16], ""weight_decay"": 0.001}",platt,0.19261443578948367,0,7.333333333333333,6,44,0.2222222222222222,0.352,0.7777777777777778,0.648,0.5316235849863317,0.14225197523152242,0.7129091925839893,0.11520147738822441
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32, 16], ""weight_decay"": 0.0001}",platt,0.1926178561265556,0,7.333333333333333,7,44,0.25925925925925924,0.352,0.7407407407407407,0.648,0.5329915585765276,0.1423394382511389,0.7129091925839893,0.10750071750449357
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16], ""weight_decay"": 0.001}",platt,0.1937631140681604,0,8.0,8,35,0.2962962962962963,0.28,0.7037037037037037,0.72,0.46544370639297306,0.1425007224726967,0.735901406633114,0.10236648311782792
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16], ""weight_decay"": 0.0001}",platt,0.1937625378111176,0,8.0,8,35,0.2962962962962963,0.28,0.7037037037037037,0.72,0.46544370639297306,0.14250168928929421,0.735901406633114,0.10237862277039583
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16], ""weight_decay"": 0.01}",platt,0.1937617116699804,0,8.0,8,35,0.2962962962962963,0.28,0.7037037037037037,0.72,0.46544370639297306,0.14250884881608097,0.735901406633114,0.1023824417567711
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32], ""weight_decay"": 0.0001}",platt,0.19158612576334288,0,9.0,9,54,0.3333333333333333,0.432,0.6666666666666666,0.568,0.5024344723855215,0.14183408813769766,0.7241364477136835,0.0746570525272731
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32], ""weight_decay"": 0.001}",platt,0.19158510763673436,0,9.0,9,54,0.3333333333333333,0.432,0.6666666666666666,0.568,0.5024344723855215,0.14183670728754705,0.7241364477136835,0.07468425638917618
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [32], ""weight_decay"": 0.01}",platt,0.19158885675908344,0,9.0,9,54,0.3333333333333333,0.432,0.6666666666666666,0.568,0.5024344723855215,0.14184351892762428,0.7241364477136835,0.07731308334101886
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [8], ""weight_decay"": 0.01}",isotonic,0.15571173120644038,0,9.333333333333334,9,56,0.3333333333333333,0.448,0.6666666666666666,0.552,0.28349597388813075,0.19062712768319323,0.6323289026541058,0.14675231178143366
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [8], ""weight_decay"": 0.001}",isotonic,0.15570418975635414,0,9.333333333333334,9,56,0.3333333333333333,0.448,0.6666666666666666,0.552,0.28349597388813075,0.19088562301356574,0.6323289026541058,0.146990011417206
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [8], ""weight_decay"": 0.0001}",isotonic,0.15512680900274592,0,9.333333333333334,9,56,0.3333333333333333,0.448,0.6666666666666666,0.552,0.27996863702746055,0.19136386964029473,0.6314470684389383,0.14775967088627626
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16, 8], ""weight_decay"": 0.0001}",platt,0.191040220862736,0,13.0,13,76,0.48148148148148145,0.608,0.5185185185185185,0.392,0.23533799665586896,0.14657231403156026,0.45530606099711785,0.014522082674588177
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16, 8], ""weight_decay"": 0.01}",platt,0.1910030254046909,0,13.0,13,76,0.48148148148148145,0.608,0.5185185185185185,0.392,0.23429970346071302,0.14657302418904958,0.45263905020002576,0.014517503159143413
mlp,"{""dropout"": 0.2, ""early_stopping"": true, ""layers"": [16, 8], ""weight_decay"": 0.001}",platt,0.19100660095655206,0,13.0,13,76,0.48148148148148145,0.608,0.5185185185185185,0.392,0.23429970346071302,0.14657402276917775,0.45263905020002576,0.01451622091832233
