bin,n_bin,event_rate,mean_p,brier_bin,ece_bin
0,30,0.1,0.03652919066620759,0.09159039796533472,0.06347080933379241
1,9,0.0,0.07471243634214757,0.00599650445491003,0.07471243634214757
2,19,0.05263157894736842,0.1187489833717919,0.05419210137142303,0.06611740442442349
3,19,0.0,0.12757629052872851,0.01628107153313912,0.12757629052872851
4,19,0.05263157894736842,0.13703156389528298,0.05681033605819429,0.08439998494791456
5,19,0.10526315789473684,0.15158959867770075,0.0973013573739648,0.04632644078296391
6,19,0.2631578947368421,0.18206459812805312,0.19925021423327052,0.08109329660878897
7,19,0.3684210526315789,0.21533830551466612,0.25085784365368174,0.1530827471169128
8,19,0.15789473684210525,0.27542949871607936,0.14202049754415869,0.1175347618739741
9,19,0.631578947368421,0.5982298719174945,0.2751045895394329,0.03334907545092647
