bin,mean_p,mean_y,n_bin,weight,abs_diff,ece_term
0,0.13469189236109902,0.36363636363636365,44,0.10476190476190476,0.22894447127526463,0.023984658895503913
1,0.6527853697964536,0.85,40,0.09523809523809523,0.19721463020354635,0.01878234573367108
2,0.7919306339838673,0.7142857142857143,42,0.1,0.07764491969815301,0.007764491969815302
3,0.8279796275041112,0.7619047619047619,42,0.1,0.06607486559934939,0.006607486559934939
4,0.8374039120692013,0.7142857142857143,42,0.1,0.12311819778348698,0.0123118197783487
5,0.8447958391137889,0.8809523809523809,42,0.1,0.03615654183859207,0.003615654183859207
6,0.8568647997718541,0.8333333333333334,42,0.1,0.023531466438520776,0.002353146643852078
7,0.8738712206414404,0.8636363636363636,44,0.10476190476190476,0.010234857005076758,0.0010722231148175651
8,0.9345701424904973,0.8571428571428571,42,0.1,0.0774272853476402,0.007742728534764021
9,0.9814307153224945,0.8,40,0.09523809523809523,0.18143071532249444,0.01727911574499947
