feature,group_a,group_b,n_group_a,n_group_b,mean_group_a,mean_group_b,median_group_a,median_group_b,mean_diff_a_minus_b,median_diff_a_minus_b,effect_size,abs_effect_size
relative risk,FP,TN,44,113,77.5909090909091,62.690265486725664,80.0,64.0,14.90064360418343,16.0,1.4347633353505505,1.4347633353505505
ДАД перед ТП,FP,TN,44,113,34.31818181818182,11.153097345132744,28.15,7.4,23.165084473049077,20.75,1.4302954607070877,1.4302954607070877
ЛПНП перед ТП,FP,TN,44,113,0.8952272727272729,1.3025663716814158,0.805,1.3,-0.4073390989541429,-0.495,-1.243720454694261,1.243720454694261
ОТТ перед ТП,FP,TN,44,113,187.5,173.49557522123894,180.0,180.0,14.004424778761063,0.0,0.5282118232258061,0.5282118232258061
healthy person risk,FP,TN,44,113,59.57045454545453,13.731858407079644,16.35,9.6,45.83859613837489,6.750000000000002,0.5080493363423608,0.5080493363423608
ЭХО КДР перед ТП,FP,TN,44,113,11.909090909090908,11.106194690265486,12.0,11.0,0.8028962188254223,1.0,0.4524585015200047,0.4524585015200047
САД перед ТП,FP,TN,44,113,105.68181818181819,99.11504424778761,100.0,100.0,6.566773934030579,0.0,0.40453634230949226,0.40453634230949226
ЭХО МЖП перед ТП,FP,TN,44,113,11.318181818181818,10.672566371681416,11.0,11.0,0.6456154465004023,0.0,0.3988296862795129,0.3988296862795129
ЭХО ФВ перед ТП,FP,TN,44,113,236.52977272727276,209.20026548672564,221.45,192.26,27.329507240547116,29.189999999999998,0.37741801555139975,0.37741801555139975
Мочевая кислота перед ТП,FP,TN,44,113,38.54545454545455,36.52212389380531,38.0,37.0,2.023330651649239,1.0,0.37703719381072043,0.37703719381072043
QRISK3,FP,TN,44,113,2.4454545454545453,1.7451327433628319,1.9,0.8,0.7003218020917135,1.0999999999999999,0.3321630747342909,0.3321630747342909
ЭХО ММЛЖ перед ТП,FP,TN,44,113,129.18045454545455,117.24460176991151,128.055,107.14,11.93585277554304,20.915000000000006,0.29997330654477444,0.29997330654477444
ЭХО ЛП перед ТП,FP,TN,44,113,50.56818181818182,49.07079646017699,50.0,48.0,1.497385358004827,2.0,0.2789327840610887,0.2789327840610887
ОХ перед ТП,FP,TN,44,113,2.5888636363636364,2.417699115044248,2.38,2.3,0.1711645213193882,0.08000000000000007,0.20370255685198274,0.20370255685198274
ТГ перед ТП,FP,TN,44,113,402.1863636363636,426.58495575221235,399.5,403.0,-24.39859211584877,-3.5,-0.19502055367653037,0.19502055367653037
ЭХО СДЛА перед ТП,FP,TN,44,113,55.77272727272727,55.123893805309734,56.0,56.0,0.6488334674175391,0.0,0.17550645996654066,0.17550645996654066
ЭХО ИММЛЖ перед ТП,FP,TN,44,113,0.44977272727272716,0.4385840707964603,0.44,0.43,0.011188656476266878,0.010000000000000009,0.17114719300704184,0.17114719300704184
ЭХО ЗС перед ТП,FP,TN,44,113,31.818181818181817,31.530973451327434,30.0,30.0,0.287208366854383,0.0,0.03956651550426469,0.03956651550426469
qrisk age,FP,TN,44,113,0.48892645602272733,0.5006730127345133,0.4511539415,0.469396587,-0.011746556711785927,-0.018242645499999988,-0.03810767358270244,0.03810767358270244
ЛПВП перед ТП,FP,TN,44,113,2.1452272727272725,2.155840707964602,2.0,1.9,-0.010613435237329494,0.10000000000000009,-0.009883671670683254,0.009883671670683254
