feature,group_a,group_b,n_group_a,n_group_b,mean_group_a,mean_group_b,median_group_a,median_group_b,mean_diff_a_minus_b,median_diff_a_minus_b,effect_size,abs_effect_size
p_range,FP,TP,44,27,0.20726428693124221,0.39533592067348494,0.16230544290410892,0.40776045475062006,-0.18807163374224273,-0.24545501184651114,-0.9868810579510718,0.9868810579510718
p_std,FP,TP,44,27,0.08898271339647075,0.16742760276729737,0.07237410117521044,0.16996859295496694,-0.07844488937082662,-0.0975944917797565,-0.9761747750523706,0.9761747750523706
p_mean_x_range,FP,TP,44,27,0.05831633541461032,0.15613261199633774,0.021818919528293252,0.13764054830316738,-0.09781627658172742,-0.11582162877487413,-0.8901510604541777,0.8901510604541777
p_max,FP,TP,44,27,0.3304273343107193,0.5181802237819698,0.2647058823529412,0.5652173913043478,-0.18775288947125052,-0.3005115089514066,-0.8239445378707404,0.8239445378707404
agree_ge_03,FP,TP,44,27,0.4318181818181818,1.0740740740740742,0.0,1.0,-0.6422558922558923,-1.0,-0.8168202851334149,0.8168202851334149
p_cat_minus_mlp,FP,TP,44,27,0.1055772239811695,0.28165005752160227,0.07630406228313309,0.3660134730713641,-0.17607283354043277,-0.28970941078823104,-0.7978814592295526,0.7978814592295526
p_cat_x_svm,FP,TP,44,27,0.08039365025037709,0.18811326901869016,0.05071441099984372,0.13596626062452766,-0.10771961876831307,-0.08525184962468393,-0.7657779856095241,0.7657779856095241
p_cat,FP,TP,44,27,0.25657984776032783,0.4289266114412626,0.238095238095238,0.4541468523085795,-0.17234676368093477,-0.2160516142133415,-0.7518636914889659,0.7518636914889659
p_mean,FP,TP,44,27,0.2248327248913151,0.31502199122005875,0.20247092084640825,0.3328638377527359,-0.09018926632874366,-0.13039291690632768,-0.6804421546450966,0.6804421546450966
agree_ge_05,FP,TP,44,27,0.3181818181818182,0.7777777777777778,0.0,1.0,-0.4595959595959596,-1.0,-0.659740815234772,0.659740815234772
logit_p_max,FP,TP,44,27,-0.7775037630102782,0.9322539255918947,-1.0216512475319814,0.2623642644674909,-1.7097576886021728,-1.2840155119994723,-0.6230620959597525,0.6230620959597525
p_median,FP,TP,44,27,0.22090779298374888,0.3040414467697219,0.18438671654859257,0.2529762955330842,-0.08313365378597301,-0.06858957898449164,-0.6049526624219449,0.6049526624219449
logit_p_cat,FP,TP,44,27,-1.504726016424385,0.3934643422051103,-1.1631508098056813,-0.18392937032332987,-1.8981903586294953,-0.9792214394823514,-0.5973131640048677,0.5973131640048677
logit_p_mean,FP,TP,44,27,-1.3270076827298545,-0.902295567548996,-1.3713402341433125,-0.6952606556594723,-0.4247121151808585,-0.6760795784838403,-0.5971600132193059,0.5971600132193059
p_cat_x_mlp,FP,TP,44,27,0.04171023828680445,0.06870006250914495,0.043121764272613106,0.08260772459258389,-0.026989824222340503,-0.039485960319970786,-0.5692677759727358,0.5692677759727358
p_svm_minus_mlp,FP,TP,44,27,0.11591307935530076,0.2215862543795934,0.08796903923570423,0.1688163709347503,-0.10567317502429263,-0.08084733169904607,-0.532326670585768,0.532326670585768
logit_p_median,FP,TP,44,27,-1.3305792123078735,-0.9690021744539252,-1.486906771352309,-1.0828011267238933,-0.36157703785394824,-0.4041056446284157,-0.4960504504844821,0.4960504504844821
p_svm,FP,TP,44,27,0.26691570313445906,0.36886280829925366,0.21115353509474005,0.3104036939689543,-0.1019471051647946,-0.09925015887421423,-0.4934210013241966,0.4934210013241966
p_svm_x_mlp,FP,TP,44,27,0.042633734256371486,0.0599262553496511,0.03780516790951755,0.054885318437307026,-0.01729252109327961,-0.017080150527789474,-0.40223461236349867,0.40223461236349867
logit_p_svm,FP,TP,44,27,-1.1024708831107244,-0.6814559121750219,-1.3181748892313279,-0.7982326737401892,-0.4210149709357025,-0.5199422154911386,-0.3974911105904606,0.3974911105904606
agree_ge_02,FP,TP,44,27,1.25,1.5185185185185186,1.0,2.0,-0.2685185185185186,-1.0,-0.3598001293892215,0.3598001293892215
p_cat_minus_svm,FP,TP,44,27,-0.010335855374131267,0.06006380314200888,-0.017673855462780996,0.037196533770237,-0.07039965851614015,-0.054870389233018,-0.3045727056147686,0.3045727056147686
agree_ge_015,FP,TP,44,27,2.409090909090909,2.4814814814814814,3.0,3.0,-0.07239057239057223,0.0,-0.10308209204038635,0.10308209204038635
logit_p_mlp,FP,TP,44,27,-3.4757459577700245,-3.7903306524947005,-1.5411741004576944,-1.5402288347169262,0.314584694724676,-0.000945265740768253,0.06778948351272102,0.06778948351272102
p_mlp,FP,TP,44,27,0.1510026237791583,0.14727655391966024,0.17636465997322354,0.176502011407828,0.0037260698594980546,-0.0001373514346044713,0.054651797929968056,0.054651797929968056
logit_p_min,FP,TP,44,27,-3.9748598819869825,-4.041573973602582,-1.5737933869120906,-1.5466345275586078,0.06671409161559971,-0.027158859353482834,0.01428555266051866,0.01428555266051866
p_min,FP,TP,44,27,0.12316304737947702,0.12284430310848479,0.17168628362937727,0.1755728785827133,0.00031874427099222447,-0.003886594953336042,0.004387252886654196,0.004387252886654196
