feature,level,group_a,group_b,count_group_a,count_group_b,share_group_a,share_group_b,share_diff_a_minus_b,abs_share_diff,log_odds_ratio,abs_log_odds_ratio
ТЭЛА до ТП,нет,FP,TP,44,26,1.0,0.9629629629629629,0.03703703703703709,0.03703703703703709,1.6169567448481277,1.6169567448481277
Диагноз,Хронический тубулоинтерстицильный нефрит,FP,TP,0,1,0.0,0.037037037037037035,-0.037037037037037035,0.037037037037037035,-1.6169567448481277,1.6169567448481277
ТЭЛА до ТП,есть,FP,TP,0,1,0.0,0.037037037037037035,-0.037037037037037035,0.037037037037037035,-1.6169567448481277,1.6169567448481277
стадия ХСН перед ТП,3 ФК,FP,TP,1,3,0.022727272727272728,0.1111111111111111,-0.08838383838383837,0.08838383838383837,-1.4213856809311607,1.4213856809311607
Донор,трупная почка,FP,TP,43,25,0.9772727272727273,0.9259259259259259,0.05134680134680136,0.05134680134680136,1.0449081096962487,1.0449081096962487
Донор,От живого донора неродственная,FP,TP,1,2,0.022727272727272728,0.07407407407407407,-0.05134680134680134,0.05134680134680134,-1.0449081096962487,1.0449081096962487
Диагноз,ХГН,FP,TP,29,11,0.6590909090909091,0.4074074074074074,0.2516835016835017,0.2516835016835017,1.0045635849579038,1.0045635849579038
ОНМК до ТП,нет,FP,TP,42,24,0.9545454545454546,0.8888888888888888,0.06565656565656575,0.06565656565656575,0.8873031950009027,0.8873031950009027
ОНМК до ТП,есть,FP,TP,2,3,0.045454545454545456,0.1111111111111111,-0.06565656565656565,0.06565656565656565,-0.8873031950009027,0.8873031950009027
Диагноз,АРМС,FP,TP,4,5,0.09090909090909091,0.18518518518518517,-0.09427609427609426,0.09427609427609426,-0.7884573603642702,0.7884573603642702
Диагноз,МКБ,FP,TP,1,0,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,0.6400373552459969,0.6400373552459969
Диагноз,Сахарный диабет,FP,TP,4,4,0.09090909090909091,0.14814814814814814,-0.05723905723905723,0.05723905723905723,-0.5443015529623801,0.5443015529623801
Диагноз,ДБСТ,FP,TP,3,3,0.06818181818181818,0.1111111111111111,-0.04292929292929293,0.04292929292929293,-0.5270203096859712,0.5270203096859712
Диагноз,Поликлистоз,FP,TP,3,3,0.06818181818181818,0.1111111111111111,-0.04292929292929293,0.04292929292929293,-0.5270203096859712,0.5270203096859712
ИМ до ТП,есть,FP,TP,1,1,0.022727272727272728,0.037037037037037035,-0.014309764309764307,0.014309764309764307,-0.495616205102462,0.495616205102462
ИМ до ТП,нет,FP,TP,43,26,0.9772727272727273,0.9629629629629629,0.014309764309764383,0.014309764309764383,0.4956162051024618,0.4956162051024618
ХНС до ТП,нет,FP,TP,20,9,0.45454545454545453,0.3333333333333333,0.12121212121212122,0.12121212121212122,0.48823070207146535,0.48823070207146535
ХНС до ТП,есть,FP,TP,24,18,0.5454545454545454,0.6666666666666666,-0.12121212121212122,0.12121212121212122,-0.4882307020714652,0.4882307020714652
Пол,жен,FP,TP,12,5,0.2727272727272727,0.18518518518518517,0.08754208754208753,0.08754208754208753,0.45325577194451294,0.45325577194451294
Пол,муж,FP,TP,32,22,0.7272727272727273,0.8148148148148148,-0.08754208754208748,0.08754208754208748,-0.4532557719445129,0.4532557719445129
стадия ХСН перед ТП,нет,FP,TP,19,9,0.4318181818181818,0.3333333333333333,0.09848484848484851,0.09848484848484851,0.39821494688310455,0.39821494688310455
стадия ХСН перед ТП,1 ФК,FP,TP,7,5,0.1590909090909091,0.18518518518518517,-0.026094276094276087,0.026094276094276087,-0.2006706954621511,0.2006706954621511
ИБС до ТП,есть,FP,TP,6,3,0.13636363636363635,0.1111111111111111,0.02525252525252525,0.02525252525252525,0.16705408466316624,0.16705408466316624
ИБС до ТП,нет,FP,TP,38,24,0.8636363636363636,0.8888888888888888,-0.025252525252525193,0.025252525252525193,-0.1670540846631662,0.1670540846631662
КАГ до ТП,есть,FP,TP,4,2,0.09090909090909091,0.07407407407407407,0.01683501683501684,0.01683501683501684,0.125163142954006,0.125163142954006
КАГ до ТП,нет,FP,TP,40,25,0.9090909090909091,0.9259259259259259,-0.01683501683501687,0.01683501683501687,-0.1251631429540059,0.1251631429540059
стадия ХСН перед ТП,2 ФК,FP,TP,17,10,0.38636363636363635,0.37037037037037035,0.015993265993266004,0.015993265993266004,0.058840500022933395,0.058840500022933395
