feature,group_a,group_b,n_group_a,n_group_b,mean_group_a,mean_group_b,median_group_a,median_group_b,mean_diff_a_minus_b,median_diff_a_minus_b,effect_size,abs_effect_size
relative risk,FP,TP,44,27,77.5909090909091,82.5925925925926,80.0,85.0,-5.001683501683502,-5.0,-0.6818716787231109,0.6818716787231109
ДАД перед ТП,FP,TP,44,27,34.31818181818182,47.933333333333344,28.15,44.3,-13.615151515151524,-16.15,-0.6730865827911698,0.6730865827911698
ЛПНП перед ТП,FP,TP,44,27,0.8952272727272729,0.7181481481481481,0.805,0.7,0.17707912457912478,0.1050000000000001,0.6137515897787302,0.6137515897787302
ЭХО ЛП перед ТП,FP,TP,44,27,50.56818181818182,53.888888888888886,50.0,53.0,-3.3207070707070656,-3.0,-0.5458873165027898,0.5458873165027898
ЭХО ЗС перед ТП,FP,TP,44,27,31.818181818181817,36.51851851851852,30.0,30.0,-4.7003367003367025,0.0,-0.49749965902495213,0.49749965902495213
Мочевая кислота перед ТП,FP,TP,44,27,38.54545454545455,40.925925925925924,38.0,40.0,-2.380471380471377,-2.0,-0.43219397917407054,0.43219397917407054
ЭХО ИММЛЖ перед ТП,FP,TP,44,27,0.44977272727272716,0.42444444444444446,0.44,0.43,0.0253282828282827,0.010000000000000009,0.43068772297063046,0.43068772297063046
ЭХО ФВ перед ТП,FP,TP,44,27,236.52977272727276,269.6162962962963,221.45,251.6,-33.08652356902354,-30.150000000000006,-0.39587494686903546,0.39587494686903546
ОХ перед ТП,FP,TP,44,27,2.5888636363636364,2.257407407407408,2.38,2.1,0.3314562289562284,0.2799999999999998,0.37081934550384343,0.37081934550384343
healthy person risk,FP,TP,44,27,59.57045454545453,108.93333333333334,16.35,33.6,-49.362878787878806,-17.25,-0.36657856659211774,0.36657856659211774
ЭХО СДЛА перед ТП,FP,TP,44,27,55.77272727272727,54.074074074074076,56.0,56.0,1.6986531986531972,0.0,0.36189068425836163,0.36189068425836163
САД перед ТП,FP,TP,44,27,105.68181818181819,112.11111111111111,100.0,107.0,-6.429292929292927,-7.0,-0.3421720409927587,0.3421720409927587
ЭХО ММЛЖ перед ТП,FP,TP,44,27,129.18045454545455,143.3848148148148,128.055,132.0,-14.20436026936025,-3.944999999999993,-0.3306150086417205,0.3306150086417205
QRISK3,FP,TP,44,27,2.4454545454545453,1.9518518518518517,1.9,0.8,0.4936026936026936,1.0999999999999999,0.2101765978124423,0.2101765978124423
ЛПВП перед ТП,FP,TP,44,27,2.1452272727272725,1.9522222222222223,2.0,1.9,0.19300505050505024,0.10000000000000009,0.2081574608197489,0.2081574608197489
ОТТ перед ТП,FP,TP,44,27,187.5,192.4814814814815,180.0,180.0,-4.981481481481495,0.0,-0.14880227178420222,0.14880227178420222
ЭХО КДР перед ТП,FP,TP,44,27,11.909090909090908,12.037037037037036,12.0,12.0,-0.12794612794612803,0.0,-0.07200221435145651,0.07200221435145651
qrisk age,FP,TP,44,27,0.48892645602272733,0.47286673681481484,0.4511539415,0.355426246,0.016059719207912493,0.09572769549999999,0.05272089877496299,0.05272089877496299
ЭХО МЖП перед ТП,FP,TP,44,27,11.318181818181818,11.37037037037037,11.0,12.0,-0.052188552188551895,-1.0,-0.03270343331475988,0.03270343331475988
ТГ перед ТП,FP,TP,44,27,402.1863636363636,403.91703703703706,399.5,399.0,-1.7306734006734814,0.5,-0.013044122162966661,0.013044122162966661
