"model","t_low","t_high","coverage","sens","spec","precision","f1","tp","fp","fn","tn","n_defined","n_total"
"catboost","0","0,5","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0","0,55","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0","0,6","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0","0,65","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0","0,7","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0","0,75","0","не число","не число","не число","не число","0","0","0","0","0","191"
"catboost","0,02","0,5","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,02","0,55","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,02","0,6","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,02","0,65","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,02","0,7","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,02","0,75","0","не число","не число","не число","не число","0","0","0","0","0","191"
"catboost","0,05","0,5","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,05","0,55","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,05","0,6","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,05","0,65","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,05","0,7","0,0209424083769634","1","не число","1","1","4","0","0","0","4","191"
"catboost","0,05","0,75","0","не число","не число","не число","не число","0","0","0","0","0","191"
"catboost","0,08","0,5","0,0890052356020942","1","1","1","1","4","0","0","13","17","191"
"catboost","0,08","0,55","0,0890052356020942","1","1","1","1","4","0","0","13","17","191"
"catboost","0,08","0,6","0,0890052356020942","1","1","1","1","4","0","0","13","17","191"
"catboost","0,08","0,65","0,0890052356020942","1","1","1","1","4","0","0","13","17","191"
"catboost","0,08","0,7","0,0890052356020942","1","1","1","1","4","0","0","13","17","191"
"catboost","0,08","0,75","0,0680628272251309","не число","1","не число","не число","0","0","0","13","13","191"
"catboost","0,1","0,5","0,198952879581152","0,666666666666667","1","1","0,8","4","0","2","32","38","191"
"catboost","0,1","0,55","0,198952879581152","0,666666666666667","1","1","0,8","4","0","2","32","38","191"
"catboost","0,1","0,6","0,198952879581152","0,666666666666667","1","1","0,8","4","0","2","32","38","191"
"catboost","0,1","0,65","0,198952879581152","0,666666666666667","1","1","0,8","4","0","2","32","38","191"
"catboost","0,1","0,7","0,198952879581152","0,666666666666667","1","1","0,8","4","0","2","32","38","191"
"catboost","0,1","0,75","0,178010471204188","0","1","не число","0","0","0","2","32","34","191"
"catboost","0,15","0,5","0,62303664921466","0,444444444444444","1","1","0,615384615384615","4","0","5","110","119","191"
"catboost","0,15","0,55","0,62303664921466","0,444444444444444","1","1","0,615384615384615","4","0","5","110","119","191"
"catboost","0,15","0,6","0,62303664921466","0,444444444444444","1","1","0,615384615384615","4","0","5","110","119","191"
"catboost","0,15","0,65","0,62303664921466","0,444444444444444","1","1","0,615384615384615","4","0","5","110","119","191"
"catboost","0,15","0,7","0,62303664921466","0,444444444444444","1","1","0,615384615384615","4","0","5","110","119","191"
"catboost","0,15","0,75","0,602094240837696","0","1","не число","0","0","0","5","110","115","191"
"catboost","0,2","0,5","0,696335078534031","0,363636363636364","1","1","0,533333333333333","4","0","7","122","133","191"
"catboost","0,2","0,55","0,696335078534031","0,363636363636364","1","1","0,533333333333333","4","0","7","122","133","191"
"catboost","0,2","0,6","0,696335078534031","0,363636363636364","1","1","0,533333333333333","4","0","7","122","133","191"
"catboost","0,2","0,65","0,696335078534031","0,363636363636364","1","1","0,533333333333333","4","0","7","122","133","191"
"catboost","0,2","0,7","0,696335078534031","0,363636363636364","1","1","0,533333333333333","4","0","7","122","133","191"
"catboost","0,2","0,75","0,675392670157068","0","1","не число","0","0","0","7","122","129","191"
"catboost","0,25","0,5","0,743455497382199","0,333333333333333","1","1","0,5","4","0","8","130","142","191"
"catboost","0,25","0,55","0,743455497382199","0,333333333333333","1","1","0,5","4","0","8","130","142","191"
"catboost","0,25","0,6","0,743455497382199","0,333333333333333","1","1","0,5","4","0","8","130","142","191"
"catboost","0,25","0,65","0,743455497382199","0,333333333333333","1","1","0,5","4","0","8","130","142","191"
"catboost","0,25","0,7","0,743455497382199","0,333333333333333","1","1","0,5","4","0","8","130","142","191"
"catboost","0,25","0,75","0,722513089005236","0","1","не число","0","0","0","8","130","138","191"
"catboost","0,3","0,5","0,769633507853403","0,307692307692308","1","1","0,470588235294118","4","0","9","134","147","191"
"catboost","0,3","0,55","0,769633507853403","0,307692307692308","1","1","0,470588235294118","4","0","9","134","147","191"
"catboost","0,3","0,6","0,769633507853403","0,307692307692308","1","1","0,470588235294118","4","0","9","134","147","191"
"catboost","0,3","0,65","0,769633507853403","0,307692307692308","1","1","0,470588235294118","4","0","9","134","147","191"
"catboost","0,3","0,7","0,769633507853403","0,307692307692308","1","1","0,470588235294118","4","0","9","134","147","191"
"catboost","0,3","0,75","0,74869109947644","0","1","не число","0","0","0","9","134","143","191"
"catboost","0,35","0,5","0,853403141361257","0,181818181818182","1","1","0,307692307692308","4","0","18","141","163","191"
"catboost","0,35","0,55","0,853403141361257","0,181818181818182","1","1","0,307692307692308","4","0","18","141","163","191"
"catboost","0,35","0,6","0,853403141361257","0,181818181818182","1","1","0,307692307692308","4","0","18","141","163","191"
"catboost","0,35","0,65","0,853403141361257","0,181818181818182","1","1","0,307692307692308","4","0","18","141","163","191"
"catboost","0,35","0,7","0,853403141361257","0,181818181818182","1","1","0,307692307692308","4","0","18","141","163","191"
"catboost","0,35","0,75","0,832460732984293","0","1","не число","0","0","0","18","141","159","191"
"catboost","0,4","0,5","0,905759162303665","0,166666666666667","1","1","0,285714285714286","4","0","20","149","173","191"
"catboost","0,4","0,55","0,905759162303665","0,166666666666667","1","1","0,285714285714286","4","0","20","149","173","191"
"catboost","0,4","0,6","0,905759162303665","0,166666666666667","1","1","0,285714285714286","4","0","20","149","173","191"
"catboost","0,4","0,65","0,905759162303665","0,166666666666667","1","1","0,285714285714286","4","0","20","149","173","191"
"catboost","0,4","0,7","0,905759162303665","0,166666666666667","1","1","0,285714285714286","4","0","20","149","173","191"
"catboost","0,4","0,75","0,884816753926702","0","1","не число","0","0","0","20","149","169","191"
"catboost","0,45","0,5","0,989528795811518","0,121212121212121","1","1","0,216216216216216","4","0","29","156","189","191"
"catboost","0,45","0,55","0,989528795811518","0,121212121212121","1","1","0,216216216216216","4","0","29","156","189","191"
"catboost","0,45","0,6","0,989528795811518","0,121212121212121","1","1","0,216216216216216","4","0","29","156","189","191"
"catboost","0,45","0,65","0,989528795811518","0,121212121212121","1","1","0,216216216216216","4","0","29","156","189","191"
"catboost","0,45","0,7","0,989528795811518","0,121212121212121","1","1","0,216216216216216","4","0","29","156","189","191"
"catboost","0,45","0,75","0,968586387434555","0","1","не число","0","0","0","29","156","185","191"
