"model","t_low","t_high","coverage","sens","spec","precision","f1","tp","fp","fn","tn","n_defined","n_total"
"ensemble","0","0,5","0,0523560209424084","1","0","0,2","0,333333333333333","2","8","0","0","10","191"
"ensemble","0","0,55","0,0471204188481675","1","0","0,111111111111111","0,2","1","8","0","0","9","191"
"ensemble","0","0,6","0,0471204188481675","1","0","0,111111111111111","0,2","1","8","0","0","9","191"
"ensemble","0","0,65","0,0471204188481675","1","0","0,111111111111111","0,2","1","8","0","0","9","191"
"ensemble","0","0,7","0,0471204188481675","1","0","0,111111111111111","0,2","1","8","0","0","9","191"
"ensemble","0","0,75","0,0471204188481675","1","0","0,111111111111111","0,2","1","8","0","0","9","191"
"ensemble","0,02","0,5","0,246073298429319","0,5","0,813953488372093","0,2","0,285714285714286","2","8","2","35","47","191"
"ensemble","0,02","0,55","0,240837696335079","0,333333333333333","0,813953488372093","0,111111111111111","0,166666666666667","1","8","2","35","46","191"
"ensemble","0,02","0,6","0,240837696335079","0,333333333333333","0,813953488372093","0,111111111111111","0,166666666666667","1","8","2","35","46","191"
"ensemble","0,02","0,65","0,240837696335079","0,333333333333333","0,813953488372093","0,111111111111111","0,166666666666667","1","8","2","35","46","191"
"ensemble","0,02","0,7","0,240837696335079","0,333333333333333","0,813953488372093","0,111111111111111","0,166666666666667","1","8","2","35","46","191"
"ensemble","0,02","0,75","0,240837696335079","0,333333333333333","0,813953488372093","0,111111111111111","0,166666666666667","1","8","2","35","46","191"
"ensemble","0,05","0,5","0,256544502617801","0,5","0,822222222222222","0,2","0,285714285714286","2","8","2","37","49","191"
"ensemble","0,05","0,55","0,25130890052356","0,333333333333333","0,822222222222222","0,111111111111111","0,166666666666667","1","8","2","37","48","191"
"ensemble","0,05","0,6","0,25130890052356","0,333333333333333","0,822222222222222","0,111111111111111","0,166666666666667","1","8","2","37","48","191"
"ensemble","0,05","0,65","0,25130890052356","0,333333333333333","0,822222222222222","0,111111111111111","0,166666666666667","1","8","2","37","48","191"
"ensemble","0,05","0,7","0,25130890052356","0,333333333333333","0,822222222222222","0,111111111111111","0,166666666666667","1","8","2","37","48","191"
"ensemble","0,05","0,75","0,25130890052356","0,333333333333333","0,822222222222222","0,111111111111111","0,166666666666667","1","8","2","37","48","191"
"ensemble","0,08","0,5","0,413612565445026","0,4","0,891891891891892","0,2","0,266666666666667","2","8","3","66","79","191"
"ensemble","0,08","0,55","0,408376963350785","0,25","0,891891891891892","0,111111111111111","0,153846153846154","1","8","3","66","78","191"
"ensemble","0,08","0,6","0,408376963350785","0,25","0,891891891891892","0,111111111111111","0,153846153846154","1","8","3","66","78","191"
"ensemble","0,08","0,65","0,408376963350785","0,25","0,891891891891892","0,111111111111111","0,153846153846154","1","8","3","66","78","191"
"ensemble","0,08","0,7","0,408376963350785","0,25","0,891891891891892","0,111111111111111","0,153846153846154","1","8","3","66","78","191"
"ensemble","0,08","0,75","0,408376963350785","0,25","0,891891891891892","0,111111111111111","0,153846153846154","1","8","3","66","78","191"
"ensemble","0,1","0,5","0,476439790575916","0,333333333333333","0,905882352941176","0,2","0,25","2","8","4","77","91","191"
"ensemble","0,1","0,55","0,471204188481675","0,2","0,905882352941176","0,111111111111111","0,142857142857143","1","8","4","77","90","191"
"ensemble","0,1","0,6","0,471204188481675","0,2","0,905882352941176","0,111111111111111","0,142857142857143","1","8","4","77","90","191"
