"model","t_low","t_high","coverage","sens","spec","precision","f1","tp","fp","fn","tn","n_defined","n_total"
"mlp","0","0,5","0,0157068062827225","1","0","0,666666666666667","0,8","2","1","0","0","3","191"
"mlp","0","0,55","0,0157068062827225","1","0","0,666666666666667","0,8","2","1","0","0","3","191"
"mlp","0","0,6","0,0157068062827225","1","0","0,666666666666667","0,8","2","1","0","0","3","191"
"mlp","0","0,65","0,0157068062827225","1","0","0,666666666666667","0,8","2","1","0","0","3","191"
"mlp","0","0,7","0,0157068062827225","1","0","0,666666666666667","0,8","2","1","0","0","3","191"
"mlp","0","0,75","0,0157068062827225","1","0","0,666666666666667","0,8","2","1","0","0","3","191"
"mlp","0,02","0,5","0,486910994764398","0,25","0,988235294117647","0,666666666666667","0,363636363636364","2","1","6","84","93","191"
"mlp","0,02","0,55","0,486910994764398","0,25","0,988235294117647","0,666666666666667","0,363636363636364","2","1","6","84","93","191"
"mlp","0,02","0,6","0,486910994764398","0,25","0,988235294117647","0,666666666666667","0,363636363636364","2","1","6","84","93","191"
"mlp","0,02","0,65","0,486910994764398","0,25","0,988235294117647","0,666666666666667","0,363636363636364","2","1","6","84","93","191"
"mlp","0,02","0,7","0,486910994764398","0,25","0,988235294117647","0,666666666666667","0,363636363636364","2","1","6","84","93","191"
"mlp","0,02","0,75","0,486910994764398","0,25","0,988235294117647","0,666666666666667","0,363636363636364","2","1","6","84","93","191"
"mlp","0,05","0,5","0,518324607329843","0,222222222222222","0,988888888888889","0,666666666666667","0,333333333333333","2","1","7","89","99","191"
"mlp","0,05","0,55","0,518324607329843","0,222222222222222","0,988888888888889","0,666666666666667","0,333333333333333","2","1","7","89","99","191"
"mlp","0,05","0,6","0,518324607329843","0,222222222222222","0,988888888888889","0,666666666666667","0,333333333333333","2","1","7","89","99","191"
"mlp","0,05","0,65","0,518324607329843","0,222222222222222","0,988888888888889","0,666666666666667","0,333333333333333","2","1","7","89","99","191"
"mlp","0,05","0,7","0,518324607329843","0,222222222222222","0,988888888888889","0,666666666666667","0,333333333333333","2","1","7","89","99","191"
"mlp","0,05","0,75","0,518324607329843","0,222222222222222","0,988888888888889","0,666666666666667","0,333333333333333","2","1","7","89","99","191"
"mlp","0,08","0,5","0,586387434554974","0,181818181818182","0,99009900990099","0,666666666666667","0,285714285714286","2","1","9","100","112","191"
"mlp","0,08","0,55","0,586387434554974","0,181818181818182","0,99009900990099","0,666666666666667","0,285714285714286","2","1","9","100","112","191"
"mlp","0,08","0,6","0,586387434554974","0,181818181818182","0,99009900990099","0,666666666666667","0,285714285714286","2","1","9","100","112","191"
"mlp","0,08","0,65","0,586387434554974","0,181818181818182","0,99009900990099","0,666666666666667","0,285714285714286","2","1","9","100","112","191"
"mlp","0,08","0,7","0,586387434554974","0,181818181818182","0,99009900990099","0,666666666666667","0,285714285714286","2","1","9","100","112","191"
"mlp","0,08","0,75","0,586387434554974","0,181818181818182","0,99009900990099","0,666666666666667","0,285714285714286","2","1","9","100","112","191"
"mlp","0,1","0,5","0,612565445026178","0,153846153846154","0,990384615384615","0,666666666666667","0,25","2","1","11","103","117","191"
"mlp","0,1","0,55","0,612565445026178","0,153846153846154","0,990384615384615","0,666666666666667","0,25","2","1","11","103","117","191"
"mlp","0,1","0,6","0,612565445026178","0,153846153846154","0,990384615384615","0,666666666666667","0,25","2","1","11","103","117","191"
"mlp","0,1","0,65","0,612565445026178","0,153846153846154","0,990384615384615","0,666666666666667","0,25","2","1","11","103","117","191"
"mlp","0,1","0,7","0,612565445026178","0,153846153846154","0,990384615384615","0,666666666666667","0,25","2","1","11","103","117","191"
"mlp","0,1","0,75","0,612565445026178","0,153846153846154","0,990384615384615","0,666666666666667","0,25","2","1","11","103","117","191"
"mlp","0,15","0,5","0,795811518324607","0,111111111111111","0,992537313432836","0,666666666666667","0,19047619047619","2","1","16","133","152","191"
"mlp","0,15","0,55","0,795811518324607","0,111111111111111","0,992537313432836","0,666666666666667","0,19047619047619","2","1","16","133","152","191"
"mlp","0,15","0,6","0,795811518324607","0,111111111111111","0,992537313432836","0,666666666666667","0,19047619047619","2","1","16","133","152","191"
"mlp","0,15","0,65","0,795811518324607","0,111111111111111","0,992537313432836","0,666666666666667","0,19047619047619","2","1","16","133","152","191"
"mlp","0,15","0,7","0,795811518324607","0,111111111111111","0,992537313432836","0,666666666666667","0,19047619047619","2","1","16","133","152","191"
"mlp","0,15","0,75","0,795811518324607","0,111111111111111","0,992537313432836","0,666666666666667","0,19047619047619","2","1","16","133","152","191"
"mlp","0,2","0,5","0,842931937172775","0,1","0,99290780141844","0,666666666666667","0,173913043478261","2","1","18","140","161","191"
"mlp","0,2","0,55","0,842931937172775","0,1","0,99290780141844","0,666666666666667","0,173913043478261","2","1","18","140","161","191"
"mlp","0,2","0,6","0,842931937172775","0,1","0,99290780141844","0,666666666666667","0,173913043478261","2","1","18","140","161","191"
"mlp","0,2","0,65","0,842931937172775","0,1","0,99290780141844","0,666666666666667","0,173913043478261","2","1","18","140","161","191"
"mlp","0,2","0,7","0,842931937172775","0,1","0,99290780141844","0,666666666666667","0,173913043478261","2","1","18","140","161","191"
"mlp","0,2","0,75","0,842931937172775","0,1","0,99290780141844","0,666666666666667","0,173913043478261","2","1","18","140","161","191"
"mlp","0,25","0,5","0,947643979057592","0,0714285714285714","0,993464052287582","0,666666666666667","0,129032258064516","2","1","26","152","181","191"
"mlp","0,25","0,55","0,947643979057592","0,0714285714285714","0,993464052287582","0,666666666666667","0,129032258064516","2","1","26","152","181","191"
"mlp","0,25","0,6","0,947643979057592","0,0714285714285714","0,993464052287582","0,666666666666667","0,129032258064516","2","1","26","152","181","191"
"mlp","0,25","0,65","0,947643979057592","0,0714285714285714","0,993464052287582","0,666666666666667","0,129032258064516","2","1","26","152","181","191"
"mlp","0,25","0,7","0,947643979057592","0,0714285714285714","0,993464052287582","0,666666666666667","0,129032258064516","2","1","26","152","181","191"
"mlp","0,25","0,75","0,947643979057592","0,0714285714285714","0,993464052287582","0,666666666666667","0,129032258064516","2","1","26","152","181","191"
"mlp","0,3","0,5","0,963350785340314","0,0666666666666667","0,993506493506494","0,666666666666667","0,121212121212121","2","1","28","153","184","191"
"mlp","0,3","0,55","0,963350785340314","0,0666666666666667","0,993506493506494","0,666666666666667","0,121212121212121","2","1","28","153","184","191"
"mlp","0,3","0,6","0,963350785340314","0,0666666666666667","0,993506493506494","0,666666666666667","0,121212121212121","2","1","28","153","184","191"
"mlp","0,3","0,65","0,963350785340314","0,0666666666666667","0,993506493506494","0,666666666666667","0,121212121212121","2","1","28","153","184","191"
"mlp","0,3","0,7","0,963350785340314","0,0666666666666667","0,993506493506494","0,666666666666667","0,121212121212121","2","1","28","153","184","191"
"mlp","0,3","0,75","0,963350785340314","0,0666666666666667","0,993506493506494","0,666666666666667","0,121212121212121","2","1","28","153","184","191"
"mlp","0,35","0,5","0,973821989528796","0,0625","0,993506493506494","0,666666666666667","0,114285714285714","2","1","30","153","186","191"
"mlp","0,35","0,55","0,973821989528796","0,0625","0,993506493506494","0,666666666666667","0,114285714285714","2","1","30","153","186","191"
"mlp","0,35","0,6","0,973821989528796","0,0625","0,993506493506494","0,666666666666667","0,114285714285714","2","1","30","153","186","191"
"mlp","0,35","0,65","0,973821989528796","0,0625","0,993506493506494","0,666666666666667","0,114285714285714","2","1","30","153","186","191"
"mlp","0,35","0,7","0,973821989528796","0,0625","0,993506493506494","0,666666666666667","0,114285714285714","2","1","30","153","186","191"
"mlp","0,35","0,75","0,973821989528796","0,0625","0,993506493506494","0,666666666666667","0,114285714285714","2","1","30","153","186","191"
"mlp","0,4","0,5","0,984293193717278","0,0625","0,993589743589744","0,666666666666667","0,114285714285714","2","1","30","155","188","191"
