,feature_1,feature_2,pearson_r
7,ЭХО ММЛЖ перед ТП,ЭХО ИММЛЖ перед ТП,0.9381679974687707
0,ЭХО КДР перед ТП,ЭХО ММЛЖ перед ТП,0.851600728288542
9,QRISK3,qrisk age,0.8225021411416729
3,ЭХО МЖП перед ТП,ЭХО ММЛЖ перед ТП,0.8029176954193998
4,ЭХО МЖП перед ТП,ЭХО ИММЛЖ перед ТП,0.7693494247085251
1,ЭХО КДР перед ТП,ЭХО ИММЛЖ перед ТП,0.7680546689957283
5,ЭХО ЗС перед ТП,ЭХО ММЛЖ перед ТП,0.7585426353267712
2,ЭХО МЖП перед ТП,ЭХО ЗС перед ТП,0.7556618613092982
8,САД перед ТП,ДАД перед ТП,0.7476202328744728
6,ЭХО ЗС перед ТП,ЭХО ИММЛЖ перед ТП,0.7378566647877111
