bin,n_bin,pred_mean,true_rate,model
0,37,0.04169416839525745,0.08108108108108109,SVM (svm_rbf)
1,94,0.1408932545205213,0.0851063829787234,SVM (svm_rbf)
2,37,0.2349772607754196,0.24324324324324326,SVM (svm_rbf)
3,8,0.3309547069107106,0.625,SVM (svm_rbf)
4,1,0.4001421258190606,1.0,SVM (svm_rbf)
5,4,0.5288461538461539,0.5,SVM (svm_rbf)
6,3,0.625,0.3333333333333333,SVM (svm_rbf)
7,2,0.7409973176000431,0.5,SVM (svm_rbf)
8,5,0.8162970630756405,0.8,SVM (svm_rbf)
0,74,0.06752362680857157,0.0945945945945946,CatBoost
1,63,0.12841992250167622,0.06349206349206349,CatBoost
2,28,0.2493514034333518,0.2857142857142857,CatBoost
3,2,0.32247587311301673,0.0,CatBoost
4,2,0.44908957065635136,1.0,CatBoost
5,17,0.5653752261682953,0.47058823529411764,CatBoost
7,3,0.729353142592298,1.0,CatBoost
9,2,1.0,1.0,CatBoost
0,36,0.0,0.16666666666666666,MLP
1,155,0.17796898700883948,0.18064516129032257,MLP
