stage1_meta_model,stage1_class_weight_spec,stage1_meta_c,stage1_rf_n_estimators,stage1_rf_max_depth,stage1_rf_min_samples_leaf,stage1_cb_iterations,stage1_cb_depth,stage1_cb_learning_rate,stage2_meta_model,stage2_class_weight_spec,stage2_meta_c,stage2_rf_n_estimators,stage2_rf_max_depth,stage2_rf_min_samples_leaf,stage2_cb_iterations,stage2_cb_depth,stage2_cb_learning_rate,auto_positive_top_frac,n_splits,stage1_target_pos_ratio,stage2_target_pos_ratio,use_raw_features,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_preserve_fn_max,meets_max_fp,meets_target_fn,meets_both
catboost,1:8,0.0,0,,0,400,5,0.05,logreg,balanced,0.05,0,,0,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
catboost,1:8,0.0,0,,0,400,5,0.05,logreg,balanced,0.1,0,,0,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
catboost,1:8,0.0,0,,0,400,5,0.05,logreg,"0:2,1:1",0.05,0,,0,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
catboost,1:8,0.0,0,,0,400,5,0.05,logreg,"0:2,1:1",0.1,0,,0,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
catboost,1:8,0.0,0,,0,400,5,0.05,logreg,"0:3,1:1",0.05,0,,0,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
catboost,1:8,0.0,0,,0,400,5,0.05,logreg,"0:3,1:1",0.1,0,,0,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
catboost,1:8,0.0,0,,0,400,5,0.05,rf,balanced,1.0,200,3.0,2,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
catboost,1:8,0.0,0,,0,400,5,0.05,rf,balanced,1.0,200,5.0,2,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
catboost,1:8,0.0,0,,0,400,5,0.05,rf,"0:2,1:1",1.0,200,3.0,2,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
catboost,1:8,0.0,0,,0,400,5,0.05,rf,"0:2,1:1",1.0,200,5.0,2,0,0,0.0,0.5,5,0.45,0.35,True,1,0,33,157,0.029411764705882353,1.0,396.0,32.0,27,False,True,False,False
