stage1_meta_model,stage1_class_weight_spec,stage1_meta_c,stage1_rf_n_estimators,stage1_rf_max_depth,stage1_rf_min_samples_leaf,stage2_meta_model,stage2_class_weight_spec,stage2_meta_c,stage2_rf_n_estimators,stage2_rf_max_depth,stage2_rf_min_samples_leaf,n_splits,stage1_target_pos_ratio,stage2_target_pos_ratio,use_raw_features,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_preserve_fn_max,meets_max_fp,meets_target_fn,meets_both
logreg,balanced,0.05,0,,0,rf,"0:3,1:1",1.0,200,3.0,2,5,0.45,0.35,True,23,24,11,133,0.6764705882352942,0.8471337579617835,156.0,10.0,5,False,False,False,False
logreg,balanced,0.05,0,,0,logreg,balanced,0.05,0,,0,5,0.45,0.35,True,23,29,11,128,0.6764705882352942,0.8152866242038217,161.0,10.0,5,False,False,False,False
logreg,balanced,0.05,0,,0,logreg,"0:3,1:1",0.05,0,,0,5,0.45,0.35,True,23,29,11,128,0.6764705882352942,0.8152866242038217,161.0,10.0,5,False,False,False,False
logreg,1:5,0.05,0,,0,logreg,"0:3,1:1",0.05,0,,0,5,0.45,0.35,True,23,30,11,127,0.6764705882352942,0.8089171974522293,162.0,10.0,5,False,False,False,False
logreg,1:5,0.03,0,,0,logreg,balanced,0.05,0,,0,5,0.45,0.35,True,23,32,11,125,0.6764705882352942,0.7961783439490446,164.0,10.0,5,False,False,False,False
logreg,balanced,0.05,0,,0,logreg,"0:3,1:1",0.1,0,,0,5,0.45,0.35,True,22,28,12,129,0.6470588235294118,0.821656050955414,172.0,11.0,6,False,False,False,False
logreg,1:5,0.05,0,,0,logreg,balanced,0.05,0,,0,5,0.45,0.35,True,22,30,12,127,0.6470588235294118,0.8089171974522293,174.0,11.0,6,False,False,False,False
logreg,1:5,0.05,0,,0,logreg,"0:3,1:1",0.1,0,,0,5,0.45,0.35,True,22,30,12,127,0.6470588235294118,0.8089171974522293,174.0,11.0,6,False,False,False,False
logreg,1:5,0.05,0,,0,logreg,balanced,0.1,0,,0,5,0.45,0.35,True,22,31,12,126,0.6470588235294118,0.802547770700637,175.0,11.0,6,False,False,False,False
logreg,balanced,0.05,0,,0,rf,balanced,1.0,200,3.0,2,5,0.45,0.35,True,21,16,13,141,0.6176470588235294,0.8980891719745223,172.0,12.0,7,False,False,False,False
logreg,1:5,0.03,0,,0,rf,"0:3,1:1",1.0,200,3.0,2,5,0.45,0.35,True,21,24,13,133,0.6176470588235294,0.8471337579617835,180.0,12.0,7,False,False,False,False
logreg,1:5,0.05,0,,0,rf,"0:3,1:1",1.0,200,3.0,2,5,0.45,0.35,True,21,25,13,132,0.6176470588235294,0.8407643312101911,181.0,12.0,7,False,False,False,False
logreg,balanced,0.03,0,,0,logreg,balanced,0.05,0,,0,5,0.45,0.35,True,21,29,13,128,0.6176470588235294,0.8152866242038217,185.0,12.0,7,False,False,False,False
logreg,balanced,0.03,0,,0,logreg,"0:3,1:1",0.05,0,,0,5,0.45,0.35,True,21,29,13,128,0.6176470588235294,0.8152866242038217,185.0,12.0,7,False,False,False,False
logreg,balanced,0.05,0,,0,logreg,balanced,0.1,0,,0,5,0.45,0.35,True,21,29,13,128,0.6176470588235294,0.8152866242038217,185.0,12.0,7,False,False,False,False
logreg,1:5,0.03,0,,0,logreg,"0:3,1:1",0.1,0,,0,5,0.45,0.35,True,21,31,13,126,0.6176470588235294,0.802547770700637,187.0,12.0,7,False,False,False,False
logreg,balanced,0.03,0,,0,logreg,balanced,0.1,0,,0,5,0.45,0.35,True,21,32,13,125,0.6176470588235294,0.7961783439490446,188.0,12.0,7,False,False,False,False
logreg,1:5,0.03,0,,0,logreg,"0:3,1:1",0.05,0,,0,5,0.45,0.35,True,21,32,13,125,0.6176470588235294,0.7961783439490446,188.0,12.0,7,False,False,False,False
logreg,1:5,0.03,0,,0,rf,balanced,1.0,200,3.0,2,5,0.45,0.35,True,20,18,14,139,0.5882352941176471,0.8853503184713376,186.0,13.0,8,False,False,False,False
logreg,balanced,0.03,0,,0,rf,balanced,1.0,200,3.0,2,5,0.45,0.35,True,20,19,14,138,0.5882352941176471,0.8789808917197452,187.0,13.0,8,False,False,False,False
logreg,1:5,0.05,0,,0,rf,balanced,1.0,200,3.0,2,5,0.45,0.35,True,20,23,14,134,0.5882352941176471,0.8535031847133758,191.0,13.0,8,False,False,False,False
logreg,balanced,0.03,0,,0,logreg,"0:3,1:1",0.1,0,,0,5,0.45,0.35,True,20,27,14,130,0.5882352941176471,0.8280254777070064,195.0,13.0,8,False,False,False,False
logreg,1:5,0.03,0,,0,logreg,balanced,0.1,0,,0,5,0.45,0.35,True,20,29,14,128,0.5882352941176471,0.8152866242038217,197.0,13.0,8,False,False,False,False
logreg,balanced,0.03,0,,0,rf,"0:3,1:1",1.0,200,3.0,2,5,0.45,0.35,True,20,30,14,127,0.5882352941176471,0.8089171974522293,198.0,13.0,8,False,False,False,False
