stage1_meta_model,stage1_class_weight_spec,stage1_meta_c,stage1_rf_n_estimators,stage1_rf_max_depth,stage1_rf_min_samples_leaf,stage2_meta_model,stage2_class_weight_spec,stage2_meta_c,stage2_rf_n_estimators,stage2_rf_max_depth,stage2_rf_min_samples_leaf,n_splits,stage1_target_pos_ratio,stage2_target_pos_ratio,use_raw_features,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
logreg,balanced,0.05,0,,0,rf,"0:3,1:1",1.0,200,3.0,2,5,0.45,0.35,True,23,24,11,133,0.6764705882352942,0.8471337579617835,156.0,10.0,False,False,False
logreg,balanced,0.05,0,,0,logreg,"0:2,1:1",0.1,0,,0,5,0.45,0.35,True,23,28,11,129,0.6764705882352942,0.821656050955414,160.0,10.0,False,False,False
logreg,balanced,0.05,0,,0,logreg,balanced,0.05,0,,0,5,0.45,0.35,True,23,29,11,128,0.6764705882352942,0.8152866242038217,161.0,10.0,False,False,False
logreg,balanced,0.05,0,,0,logreg,"0:2,1:1",0.05,0,,0,5,0.45,0.35,True,23,29,11,128,0.6764705882352942,0.8152866242038217,161.0,10.0,False,False,False
logreg,balanced,0.05,0,,0,logreg,"0:3,1:1",0.05,0,,0,5,0.45,0.35,True,23,29,11,128,0.6764705882352942,0.8152866242038217,161.0,10.0,False,False,False
logreg,1:5,0.05,0,,0,logreg,"0:2,1:1",0.05,0,,0,5,0.45,0.35,True,23,30,11,127,0.6764705882352942,0.8089171974522293,162.0,10.0,False,False,False
logreg,1:5,0.05,0,,0,logreg,"0:3,1:1",0.05,0,,0,5,0.45,0.35,True,23,30,11,127,0.6764705882352942,0.8089171974522293,162.0,10.0,False,False,False
logreg,1:5,0.03,0,,0,logreg,balanced,0.05,0,,0,5,0.45,0.35,True,23,32,11,125,0.6764705882352942,0.7961783439490446,164.0,10.0,False,False,False
logreg,1:8,0.03,0,,0,rf,balanced,1.0,200,3.0,2,5,0.45,0.35,True,22,19,12,138,0.6470588235294118,0.8789808917197452,163.0,11.0,False,False,False
logreg,1:8,0.03,0,,0,rf,"0:2,1:1",1.0,200,3.0,2,5,0.45,0.35,True,22,22,12,135,0.6470588235294118,0.8598726114649682,166.0,11.0,False,False,False
logreg,1:8,0.03,0,,0,rf,"0:3,1:1",1.0,200,3.0,2,5,0.45,0.35,True,22,22,12,135,0.6470588235294118,0.8598726114649682,166.0,11.0,False,False,False
