meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
catboost,1:7,0.0,0,,0,400,5,0.05,5,3,0.3,True,0.09264559711478589,29,40,5,117,0.8529411764705882,0.7452229299363057,65.0,4.714285714285714,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,5,0.03,5,3,0.25,True,0.16822350182742793,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
catboost,1:7,0.0,0,,0,400,5,0.03,5,3,0.25,True,0.16633919065133526,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,6,0.03,5,3,0.25,True,0.15846713063020065,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,6,0.05,5,3,0.3,True,0.11892578416152864,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,5,0.05,5,3,0.25,True,0.09980835485845468,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
catboost,1:7,0.0,0,,0,400,6,0.05,5,3,0.3,True,0.09833925677885241,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,5,0.03,5,3,0.3,True,0.18227591102686944,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:7,0.0,0,,0,400,5,0.03,5,3,0.3,True,0.17607231486033817,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:7,0.0,0,,0,400,6,0.03,5,3,0.3,True,0.1430167335092785,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,5,0.05,5,3,0.3,True,0.10564083018383312,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:7,0.0,0,,0,400,6,0.05,5,3,0.25,True,0.07842968269614614,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,6,0.05,5,3,0.25,True,0.07082438182818881,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:7,0.0,0,,0,400,6,0.03,5,3,0.25,True,0.11911446356871774,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,1:7,0.0,0,,0,400,5,0.05,5,3,0.25,True,0.08015011536040005,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,6,0.03,5,3,0.3,True,0.10867656846052032,29,50,5,107,0.8529411764705882,0.6815286624203821,75.0,6.142857142857143,0,False,False,True,False
