meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,target_pos_ratio,threshold,n_splits,n_repeats,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both,phase
catboost,1:8,0.0,0,,0,400,6,0.05,0.35,0.0,0.0,0.35,0.023457333815245975,2,1,28,68,6,89,0.8235294117647058,0.5668789808917197,140.0,8.714285714285714,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.0,0.0,0.0,0.35,0.027255981768259968,2,1,28,73,6,84,0.8235294117647058,0.535031847133758,145.0,9.428571428571429,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.0,1.0,0.0,0.35,0.021205664555479814,2,1,28,74,6,83,0.8235294117647058,0.5286624203821656,146.0,9.571428571428571,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.35,0.0,0.6,0.35,0.019723723602044465,2,1,28,75,6,82,0.8235294117647058,0.5222929936305732,147.0,9.714285714285714,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.0,1.0,0.6,0.35,0.019918263076025237,2,1,28,77,6,80,0.8235294117647058,0.5095541401273885,149.0,10.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.35,1.0,0.0,0.35,0.009868336476889969,2,1,28,79,6,78,0.8235294117647058,0.4968152866242038,151.0,10.285714285714286,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.35,1.0,0.6,0.35,0.008644868900181691,2,1,28,86,6,71,0.8235294117647058,0.45222929936305734,158.0,11.285714285714286,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.0,0.0,0.6,0.35,0.02037814649137308,2,1,28,93,6,64,0.8235294117647058,0.40764331210191085,165.0,12.285714285714286,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.35,0.0,0.0,0.35,0.023457333815245975,2,1,28,68,6,89,0.8235294117647058,0.5668789808917197,140.0,8.714285714285714,0,False,False,True,False,full
catboost,1:8,0.0,0,,0,400,6,0.05,0.0,0.0,0.0,0.35,0.027255981768259968,2,1,28,73,6,84,0.8235294117647058,0.535031847133758,145.0,9.428571428571429,0,False,False,True,False,full
catboost,1:8,0.0,0,,0,400,6,0.05,0.0,1.0,0.0,0.35,0.021205664555479814,2,1,28,74,6,83,0.8235294117647058,0.5286624203821656,146.0,9.571428571428571,0,False,False,True,False,full
catboost,1:8,0.0,0,,0,400,6,0.05,0.35,0.0,0.6,0.35,0.019723723602044465,2,1,28,75,6,82,0.8235294117647058,0.5222929936305732,147.0,9.714285714285714,0,False,False,True,False,full
