meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,cb_random_strength,cb_bagging_temperature,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,target_pos_ratio,threshold,n_splits,n_repeats,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both,phase
catboost,1:8,0.0,0,,0,400,6,0.05,3.0,1.0,0.0,0.0,0.0,0.0,0.35,0.027255981768259968,2,1,28,73,6,84,0.8235294117647058,0.535031847133758,145.0,9.428571428571429,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,6.0,0.0,0.0,0.0,0.0,0.0,0.35,0.01426350897513367,2,1,29,74,5,83,0.8529411764705882,0.5286624203821656,134.0,9.571428571428571,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,6.0,1.0,0.0,0.0,0.0,0.0,0.35,0.05041415064696936,2,1,28,77,6,80,0.8235294117647058,0.5095541401273885,149.0,10.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,10.0,1.0,0.5,0.0,0.0,0.0,0.35,0.04447206901839707,2,1,28,89,6,68,0.8235294117647058,0.43312101910828027,161.0,11.714285714285714,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,3.0,0.0,0.5,0.0,0.0,0.0,0.35,0.009242722951457531,2,1,28,93,6,64,0.8235294117647058,0.40764331210191085,165.0,12.285714285714286,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,6.0,1.0,0.5,0.0,0.0,0.0,0.35,0.03016893949767138,2,1,28,96,6,61,0.8235294117647058,0.3885350318471338,168.0,12.714285714285714,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,3.0,1.0,0.5,0.0,0.0,0.0,0.35,0.016161655216952987,2,1,28,97,6,60,0.8235294117647058,0.3821656050955414,169.0,12.857142857142858,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,3.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0046634241784676445,2,1,28,98,6,59,0.8235294117647058,0.37579617834394907,170.0,13.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,10.0,0.0,0.0,0.0,0.0,0.0,0.35,0.018024816876811085,2,1,28,99,6,58,0.8235294117647058,0.36942675159235666,171.0,13.142857142857142,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,6.0,0.0,0.5,0.0,0.0,0.0,0.35,0.012133019095221218,2,1,28,102,6,55,0.8235294117647058,0.3503184713375796,174.0,13.571428571428571,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,10.0,0.0,0.5,0.0,0.0,0.0,0.35,0.016566850499148834,2,1,29,103,5,54,0.8529411764705882,0.34394904458598724,163.0,13.714285714285714,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,10.0,1.0,0.0,0.0,0.0,0.0,0.35,0.032100092663619045,2,1,28,108,6,49,0.8235294117647058,0.31210191082802546,180.0,14.428571428571429,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,3.0,1.0,0.0,0.0,0.0,0.0,0.35,0.027255981768259968,2,1,28,73,6,84,0.8235294117647058,0.535031847133758,145.0,9.428571428571429,0,False,False,True,False,full
catboost,1:8,0.0,0,,0,400,6,0.05,6.0,0.0,0.0,0.0,0.0,0.0,0.35,0.01426350897513367,2,1,29,74,5,83,0.8529411764705882,0.5286624203821656,134.0,9.571428571428571,0,False,False,True,False,full
catboost,1:8,0.0,0,,0,400,6,0.05,6.0,1.0,0.0,0.0,0.0,0.0,0.35,0.05041415064696936,2,1,28,77,6,80,0.8235294117647058,0.5095541401273885,149.0,10.0,0,False,False,True,False,full
catboost,1:8,0.0,0,,0,400,6,0.05,10.0,1.0,0.5,0.0,0.0,0.0,0.35,0.04447206901839707,2,1,28,89,6,68,0.8235294117647058,0.43312101910828027,161.0,11.714285714285714,0,False,False,True,False,full
