meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
catboost,1:3,0.0,0,,0,400,4,0.05,5,3,0.45,True,0.11836893441202452,29,36,5,121,0.8529411764705882,0.7707006369426752,61.0,4.142857142857143,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,4,0.05,5,3,0.45,True,0.30394996471180646,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,4,0.05,5,3,0.45,True,0.2706598585220424,29,39,5,118,0.8529411764705882,0.7515923566878981,64.0,4.571428571428571,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,4,0.03,5,3,0.45,True,0.3202937887904785,29,42,5,115,0.8529411764705882,0.732484076433121,67.0,5.0,0,False,False,True,False
catboost,balanced,0.0,0,,0,400,4,0.03,5,3,0.45,True,0.19138469411274664,29,42,5,115,0.8529411764705882,0.732484076433121,67.0,5.0,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,4,0.03,5,3,0.45,True,0.3023507195794194,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,4,0.05,5,3,0.45,True,0.18523018950092987,28,37,6,120,0.8235294117647058,0.7643312101910829,67.0,5.0,0,False,False,True,False
catboost,1:3,0.0,0,,0,400,4,0.03,5,3,0.45,True,0.177471201999763,28,38,6,119,0.8235294117647058,0.7579617834394905,68.0,5.0,0,False,False,True,False
catboost,balanced,0.0,0,,0,400,4,0.05,5,3,0.45,True,0.1708306456711577,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,3,0.03,5,3,0.45,True,0.39592052215256696,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,3,0.03,5,3,0.45,True,0.2943035518135537,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,3,0.05,5,3,0.45,True,0.2905677499091954,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
catboost,balanced,0.0,0,,0,400,3,0.05,5,3,0.45,True,0.17757199671303284,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,3,0.03,5,3,0.45,True,0.38702948084352906,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,4,0.05,5,3,0.45,True,0.17709830026958528,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:3,0.0,0,,0,400,3,0.05,5,3,0.45,True,0.0917093646541685,29,45,5,112,0.8529411764705882,0.7133757961783439,70.0,5.428571428571429,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,4,0.03,5,3,0.45,True,0.19859959043212702,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,3,0.05,5,3,0.45,True,0.17335696551196858,28,45,6,112,0.8235294117647058,0.7133757961783439,75.0,5.428571428571429,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,3,0.05,5,3,0.45,True,0.14839601450015058,29,46,5,111,0.8529411764705882,0.7070063694267515,71.0,5.571428571428571,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,4,0.03,5,3,0.45,True,0.32929619484785394,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,3,0.03,5,3,0.45,True,0.28623441653328696,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:3,0.0,0,,0,400,3,0.03,5,3,0.45,True,0.17736983952923183,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,balanced,0.0,0,,0,400,3,0.03,5,3,0.45,True,0.2298398094453915,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,3,0.05,5,3,0.45,True,0.235520905572027,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
