meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
catboost,1:8,0.0,0,,0,400,5,0.05,5,5,0.35,True,0.21446130820543216,28,32,6,125,0.8235294117647058,0.7961783439490446,62.0,5.0,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,5,0.05,5,5,0.45,True,0.1707728321034939,28,37,6,120,0.8235294117647058,0.7643312101910829,67.0,5.0,0,False,False,True,False
logreg,1:5,0.03,0,,0,0,0,0.0,5,5,0.45,True,0.5244345319167732,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
logreg,balanced,0.03,0,,0,0,0,0.0,5,5,0.35,True,0.3242257166913395,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
logreg,balanced,0.03,0,,0,0,0,0.0,5,5,0.45,True,0.3237363440873481,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
catboost,balanced,0.0,0,,0,400,5,0.05,5,5,0.45,True,0.127399565321125,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,5,0.05,5,5,0.25,True,0.11257151009138133,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
logreg,1:8,0.03,0,,0,0,0,0.0,5,5,0.45,True,0.5924495885422203,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,5,0.03,5,5,0.25,True,0.1862464325867587,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
catboost,1:3,0.0,0,,0,400,5,0.03,5,5,0.45,True,0.13429765498878604,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
catboost,balanced,0.0,0,,0,400,5,0.05,5,5,0.35,True,0.09943403937215294,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
logreg,1:3,0.03,0,,0,0,0,0.0,5,5,0.45,True,0.4466131302417791,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,3,0.03,5,5,0.45,True,0.4207628226961197,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,5,0.03,5,5,0.45,True,0.26973453985308316,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,5,0.05,5,5,0.45,True,0.21819064279323896,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
logreg,1:8,0.03,0,,0,0,0,0.0,5,5,0.35,True,0.5089615802650068,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
logreg,1:5,0.03,0,,0,0,0,0.0,5,5,0.35,True,0.4420013406474939,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
logreg,1:3,0.03,0,,0,0,0,0.0,5,5,0.35,True,0.37133094477763184,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
logreg,balanced,0.05,0,,0,0,0,0.0,5,5,0.35,True,0.28436842796479805,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,5,0.03,5,5,0.45,True,0.22623336960258764,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,5,0.05,5,5,0.45,True,0.20466250982606896,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,5,0.03,5,5,0.25,True,0.15572764043622894,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,5,0.05,5,5,0.35,True,0.09584817866796454,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
catboost,1:8,0.0,0,,0,200,3,0.03,5,5,0.45,True,0.4898765724841761,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
logreg,1:8,0.03,0,,0,0,0,0.0,5,5,0.25,True,0.418620323882782,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
logreg,1:5,0.03,0,,0,0,0,0.0,5,5,0.25,True,0.35280237693443894,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
logreg,balanced,0.03,0,,0,0,0,0.0,5,5,0.25,True,0.3114661922328109,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
