meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
logreg,1:12,0.03,0,,0,5,3,0.45,False,0.8167481533046971,26,57,8,100,0.7647058823529411,0.6369426751592356,153.0,7.142857142857143,False,False,False
logreg,1:12,0.1,0,,0,5,3,0.45,False,0.8055053930865886,26,57,8,100,0.7647058823529411,0.6369426751592356,153.0,7.142857142857143,False,False,False
logreg,1:8,0.03,0,,0,5,3,0.45,False,0.7502089545031781,26,57,8,100,0.7647058823529411,0.6369426751592356,153.0,7.142857142857143,False,False,False
logreg,1:8,0.1,0,,0,5,3,0.45,False,0.7345949625293026,26,57,8,100,0.7647058823529411,0.6369426751592356,153.0,7.142857142857143,False,False,False
logreg,1:5,0.05,0,,0,5,3,0.45,False,0.6558625362805498,26,57,8,100,0.7647058823529411,0.6369426751592356,153.0,7.142857142857143,False,False,False
logreg,1:5,0.2,0,,0,5,3,0.45,False,0.6399992717621636,26,57,8,100,0.7647058823529411,0.6369426751592356,153.0,7.142857142857143,False,False,False
logreg,1:5,0.03,0,,0,5,3,0.45,False,0.655285777831714,26,58,8,99,0.7647058823529411,0.6305732484076433,154.0,7.285714285714286,False,False,False
logreg,1:3,0.03,0,,0,5,3,0.45,False,0.5366588089461075,26,58,8,99,0.7647058823529411,0.6305732484076433,154.0,7.285714285714286,False,False,False
logreg,1:3,0.05,0,,0,5,3,0.45,False,0.5366011764388777,26,58,8,99,0.7647058823529411,0.6305732484076433,154.0,7.285714285714286,False,False,False
logreg,1:3,0.2,0,,0,5,3,0.45,False,0.5254225481973888,26,58,8,99,0.7647058823529411,0.6305732484076433,154.0,7.285714285714286,False,False,False
logreg,balanced,0.2,0,,0,5,3,0.45,False,0.33004356035462323,26,58,8,99,0.7647058823529411,0.6305732484076433,154.0,7.285714285714286,False,False,False
logreg,balanced,0.1,0,,0,5,3,0.45,False,0.32493949568454417,26,59,8,98,0.7647058823529411,0.6242038216560509,155.0,7.428571428571429,False,False,False
logreg,1:5,0.1,0,,0,5,3,0.45,False,0.6330040696997968,26,61,8,96,0.7647058823529411,0.6114649681528662,157.0,7.714285714285714,False,False,False
logreg,1:3,0.1,0,,0,5,3,0.45,False,0.5054665761542441,26,62,8,95,0.7647058823529411,0.6050955414012739,158.0,7.857142857142857,False,False,False
logreg,balanced,0.03,0,,0,5,3,0.45,False,0.3344209266859266,26,62,8,95,0.7647058823529411,0.6050955414012739,158.0,7.857142857142857,False,False,False
logreg,1:12,0.2,0,,0,5,3,0.45,False,0.8173606622911608,25,53,9,104,0.7352941176470589,0.6624203821656051,161.0,8.0,False,False,False
logreg,1:12,0.05,0,,0,5,3,0.45,False,0.8173601567594585,25,55,9,102,0.7352941176470589,0.6496815286624203,163.0,8.0,False,False,False
logreg,1:8,0.2,0,,0,5,3,0.45,False,0.7494223116074608,25,55,9,102,0.7352941176470589,0.6496815286624203,163.0,8.0,False,False,False
logreg,1:8,0.05,0,,0,5,3,0.45,False,0.750757485639058,25,57,9,100,0.7352941176470589,0.6369426751592356,165.0,8.0,False,False,False
logreg,balanced,0.05,0,,0,5,3,0.45,False,0.33637761396027627,25,57,9,100,0.7352941176470589,0.6369426751592356,165.0,8.0,False,False,False
