meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
logreg,balanced,0.03,0,,0,0,0,0.0,5,3,0.35,True,0.2755221624230926,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
logreg,balanced,0.03,0,,0,0,0,0.0,5,3,0.25,True,0.28647068886808463,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
logreg,balanced,0.05,0,,0,0,0,0.0,5,3,0.2,True,0.2791389032997938,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
logreg,balanced,0.05,0,,0,0,0,0.0,5,3,0.25,True,0.2662428475149831,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
logreg,balanced,0.03,0,,0,0,0,0.0,5,3,0.45,True,0.2850939676875726,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
logreg,balanced,0.03,0,,0,0,0,0.0,5,3,0.2,True,0.28377587039342494,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
logreg,balanced,0.03,0,,0,0,0,0.0,5,3,0.3,True,0.27737120160998713,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
logreg,balanced,0.05,0,,0,0,0,0.0,5,3,0.15,True,0.27495918153190857,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
logreg,balanced,0.05,0,,0,0,0,0.0,5,3,0.3,True,0.24599852797637803,28,48,6,109,0.8235294117647058,0.6942675159235668,78.0,5.857142857142857,0,False,False,True,False
logreg,balanced,0.05,0,,0,0,0,0.0,5,3,0.45,True,0.24859640830587418,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
logreg,balanced,0.1,0,,0,0,0,0.0,5,3,0.45,True,0.19739452221618684,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
logreg,balanced,0.1,0,,0,0,0,0.0,5,3,0.3,True,0.19724627738765946,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
logreg,balanced,0.05,0,,0,0,0,0.0,5,3,0.35,True,0.2320792186550955,29,53,5,104,0.8529411764705882,0.6624203821656051,78.0,6.571428571428571,0,False,False,True,False
logreg,balanced,0.1,0,,0,0,0,0.0,5,3,0.15,True,0.22430501020058147,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
logreg,balanced,0.03,0,,0,0,0,0.0,5,3,0.15,True,0.26921352193353354,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
logreg,balanced,0.1,0,,0,0,0,0.0,5,3,0.35,True,0.18680506539281105,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
logreg,balanced,0.1,0,,0,0,0,0.0,5,3,0.2,True,0.21391657076420734,28,55,6,102,0.8235294117647058,0.6496815286624203,85.0,6.857142857142857,0,False,False,True,False
logreg,balanced,0.1,0,,0,0,0,0.0,5,3,0.25,True,0.2003980607247179,28,55,6,102,0.8235294117647058,0.6496815286624203,85.0,6.857142857142857,0,False,False,True,False
