meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
logreg,balanced,0.03,0,,0,5,3,0.45,True,0.2850939676875726,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
logreg,balanced,0.05,0,,0,5,3,0.45,True,0.24859640830587418,28,49,6,108,0.8235294117647058,0.6878980891719745,121.0,6.0,False,False,False
logreg,1:12,0.03,0,,0,5,3,0.45,True,0.6322266120842185,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
logreg,1:8,0.03,0,,0,5,3,0.45,True,0.5735733681289626,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
logreg,1:5,0.03,0,,0,5,3,0.45,True,0.5007623871588855,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
logreg,1:12,0.05,0,,0,5,3,0.45,True,0.5694868658900475,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
logreg,1:8,0.05,0,,0,5,3,0.45,True,0.5146416031856692,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
logreg,1:5,0.05,0,,0,5,3,0.45,True,0.452067788593906,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
logreg,1:3,0.05,0,,0,5,3,0.45,True,0.3822989829550549,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
logreg,1:3,0.03,0,,0,5,3,0.45,True,0.41949750067262465,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
logreg,1:12,0.1,0,,0,5,3,0.45,True,0.42310654365696343,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
logreg,1:5,0.1,0,,0,5,3,0.45,True,0.33032055617924594,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
logreg,1:3,0.1,0,,0,5,3,0.45,True,0.28187939435604487,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
logreg,balanced,0.1,0,,0,5,3,0.45,True,0.2165873548049043,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
logreg,1:8,0.1,0,,0,5,3,0.45,True,0.3786464212224765,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
logreg,balanced,0.2,0,,0,5,3,0.45,True,0.14471926123296328,28,54,6,103,0.8235294117647058,0.6560509554140127,126.0,6.714285714285714,False,False,False
logreg,1:12,0.2,0,,0,5,3,0.45,True,0.28614673450057365,27,54,7,103,0.7941176470588235,0.6560509554140127,138.0,6.714285714285714,False,False,False
logreg,1:8,0.2,0,,0,5,3,0.45,True,0.25614455031604516,27,55,7,102,0.7941176470588235,0.6496815286624203,139.0,6.857142857142857,False,False,False
logreg,1:5,0.2,0,,0,5,3,0.45,True,0.22543279373881486,27,55,7,102,0.7941176470588235,0.6496815286624203,139.0,6.857142857142857,False,False,False
logreg,1:3,0.2,0,,0,5,3,0.45,True,0.19413802932552882,27,55,7,102,0.7941176470588235,0.6496815286624203,139.0,6.857142857142857,False,False,False
