meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
logreg,balanced,0.03,0,,0,5,8,0.45,True,0.31153088478239943,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,False,False,False
logreg,1:12,0.03,0,,0,5,8,0.45,True,0.6074657913483238,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,False,False,False
logreg,1:2,0.03,0,,0,5,8,0.45,True,0.37307648010570316,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,False,False,False
logreg,1:8,0.03,0,,0,5,8,0.45,True,0.5527038861460531,29,46,5,111,0.8529411764705882,0.7070063694267515,106.0,5.571428571428571,False,False,False
logreg,1:3,0.03,0,,0,5,8,0.45,True,0.42778422745873756,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,False,False,False
logreg,1:3,0.05,0,,0,5,8,0.45,True,0.3793730355413158,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,False,False,False
logreg,1:2,0.05,0,,0,5,8,0.45,True,0.33211068578530056,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,False,False,False
logreg,1:3,0.2,0,,0,5,8,0.45,True,0.23931312376484745,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,False,False,False
logreg,1:5,0.03,0,,0,5,8,0.45,True,0.4882549682639906,29,47,5,110,0.8529411764705882,0.7006369426751592,107.0,5.714285714285714,False,False,False
logreg,1:2,0.2,0,,0,5,8,0.45,True,0.20759810802767123,29,47,5,110,0.8529411764705882,0.7006369426751592,107.0,5.714285714285714,False,False,False
logreg,balanced,0.05,0,,0,5,8,0.45,True,0.2795823766816541,28,47,6,110,0.8235294117647058,0.7006369426751592,119.0,5.714285714285714,False,False,False
logreg,1:12,0.05,0,,0,5,8,0.45,True,0.5289219978948143,29,48,5,109,0.8529411764705882,0.6942675159235668,108.0,5.857142857142857,False,False,False
logreg,1:8,0.05,0,,0,5,8,0.45,True,0.48817290208505937,29,48,5,109,0.8529411764705882,0.6942675159235668,108.0,5.857142857142857,False,False,False
logreg,1:5,0.05,0,,0,5,8,0.45,True,0.43153397855824255,29,48,5,109,0.8529411764705882,0.6942675159235668,108.0,5.857142857142857,False,False,False
logreg,1:5,0.1,0,,0,5,8,0.45,True,0.35342100612064675,29,48,5,109,0.8529411764705882,0.6942675159235668,108.0,5.857142857142857,False,False,False
logreg,1:12,0.2,0,,0,5,8,0.45,True,0.31603060849697306,29,48,5,109,0.8529411764705882,0.6942675159235668,108.0,5.857142857142857,False,False,False
logreg,1:3,0.1,0,,0,5,8,0.45,True,0.30171740946864267,29,48,5,109,0.8529411764705882,0.6942675159235668,108.0,5.857142857142857,False,False,False
logreg,1:8,0.2,0,,0,5,8,0.45,True,0.29309628510003516,29,48,5,109,0.8529411764705882,0.6942675159235668,108.0,5.857142857142857,False,False,False
logreg,1:5,0.2,0,,0,5,8,0.45,True,0.2656673537370077,29,48,5,109,0.8529411764705882,0.6942675159235668,108.0,5.857142857142857,False,False,False
logreg,balanced,0.2,0,,0,5,8,0.45,True,0.17541889372029973,29,48,5,109,0.8529411764705882,0.6942675159235668,108.0,5.857142857142857,False,False,False
logreg,1:12,0.1,0,,0,5,8,0.45,True,0.4603435876344618,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
logreg,1:8,0.1,0,,0,5,8,0.45,True,0.4139330874975654,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
rf,balanced,1.0,500,3.0,4,5,8,0.45,True,0.2733976440807258,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
logreg,1:2,0.1,0,,0,5,8,0.45,True,0.27201463212237,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
logreg,balanced,0.1,0,,0,5,8,0.45,True,0.23368397065790542,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
rf,1:5,1.0,200,,2,5,8,0.45,True,0.20190136201606443,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
rf,balanced,1.0,200,,2,5,8,0.45,True,0.18715890957303863,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
rf,1:3,1.0,200,8.0,1,5,8,0.45,True,0.18481089399216413,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
rf,1:5,1.0,500,,1,5,8,0.45,True,0.166,28,48,6,109,0.8235294117647058,0.6942675159235668,120.0,5.857142857142857,False,False,False
rf,balanced,1.0,200,3.0,1,5,8,0.45,True,0.2639706211591999,28,49,6,108,0.8235294117647058,0.6878980891719745,121.0,6.0,False,False,False
rf,1:5,1.0,500,,2,5,8,0.45,True,0.1976740154958384,28,49,6,108,0.8235294117647058,0.6878980891719745,121.0,6.0,False,False,False
rf,1:12,1.0,500,,1,5,8,0.45,True,0.18500000000000005,27,42,7,115,0.7941176470588235,0.732484076433121,126.0,6.0,False,False,False
rf,1:12,1.0,200,,1,5,8,0.45,True,0.183125,27,42,7,115,0.7941176470588235,0.732484076433121,126.0,6.0,False,False,False
rf,1:8,1.0,200,,1,5,8,0.45,True,0.1825,27,42,7,115,0.7941176470588235,0.732484076433121,126.0,6.0,False,False,False
rf,1:8,1.0,500,,1,5,8,0.45,True,0.17825000000000002,27,42,7,115,0.7941176470588235,0.732484076433121,126.0,6.0,False,False,False
rf,balanced,1.0,200,,1,5,8,0.45,True,0.190625,27,43,7,114,0.7941176470588235,0.7261146496815286,127.0,6.0,False,False,False
rf,balanced,1.0,500,8.0,1,5,8,0.45,True,0.18951151204056668,27,44,7,113,0.7941176470588235,0.7197452229299363,128.0,6.0,False,False,False
rf,balanced,1.0,500,,1,5,8,0.45,True,0.18775,27,44,7,113,0.7941176470588235,0.7197452229299363,128.0,6.0,False,False,False
rf,1:8,1.0,200,,2,5,8,0.45,True,0.22273147388990824,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:3,1.0,200,8.0,2,5,8,0.45,True,0.21545376340599037,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:2,1.0,200,8.0,2,5,8,0.45,True,0.21113014707501715,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:3,1.0,200,,2,5,8,0.45,True,0.2103752747011116,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:2,1.0,200,8.0,1,5,8,0.45,True,0.1933505575746182,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,balanced,1.0,200,8.0,1,5,8,0.45,True,0.19087070142408813,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:2,1.0,200,,1,5,8,0.45,True,0.189375,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,1:2,1.0,500,,1,5,8,0.45,True,0.18375,27,45,7,112,0.7941176470588235,0.7133757961783439,129.0,6.0,False,False,False
rf,balanced,1.0,200,3.0,4,5,8,0.45,True,0.2853013657294958,27,46,7,111,0.7941176470588235,0.7070063694267515,130.0,6.0,False,False,False
