meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.49128463864326477,29,34,5,123,0.8529411764705882,0.7834394904458599,59.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.49017849564552307,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.47935526569684345,29,37,5,120,0.8529411764705882,0.7643312101910829,62.0,4.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.463847150405248,29,37,5,120,0.8529411764705882,0.7643312101910829,62.0,4.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.45944514870643616,29,37,5,120,0.8529411764705882,0.7643312101910829,62.0,4.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.48672622442245483,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.48284420371055603,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.4726715087890625,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3973427414894104,29,39,5,118,0.8529411764705882,0.7515923566878981,64.0,4.571428571428571,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.39218807717164356,29,39,5,118,0.8529411764705882,0.7515923566878981,64.0,4.571428571428571,0,False,False,True,False
