n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
300,2,0.05,6.0,0.9,0.8,2.0,0.0,4.0,0.0,0.0,1.0,0.31015723943710327,30,27,130,4,0.8823529411764706,0.8280254777070064,0.11764705882352941,0.17197452229299362,4.0,False
300,2,0.05,6.0,0.9,0.8,2.0,0.0,4.0,0.0,0.0,0.5,0.28322312235832214,30,27,130,4,0.8823529411764706,0.8280254777070064,0.11764705882352941,0.17197452229299362,4.0,False
350,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.0,0.0,1.0,0.2928774654865265,30,28,129,4,0.8823529411764706,0.821656050955414,0.11764705882352941,0.17834394904458598,4.0,False
250,2,0.05,6.0,0.9,0.8,2.0,0.0,4.0,0.0,0.0,0.5,0.2890564799308777,30,28,129,4,0.8823529411764706,0.821656050955414,0.11764705882352941,0.17834394904458598,4.0,False
250,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.0,0.0,0.5,0.32023996114730835,30,29,128,4,0.8823529411764706,0.8152866242038217,0.11764705882352941,0.18471337579617833,4.142857142857143,False
250,2,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.0,0.0,0.5,0.3035101890563965,30,29,128,4,0.8823529411764706,0.8152866242038217,0.11764705882352941,0.18471337579617833,4.142857142857143,False
300,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.0,0.0,1.0,0.29402974247932434,30,29,128,4,0.8823529411764706,0.8152866242038217,0.11764705882352941,0.18471337579617833,4.142857142857143,False
300,2,0.05,6.0,0.9,0.8,4.0,0.0,5.0,0.0,0.0,1.0,0.27899906039237976,30,29,128,4,0.8823529411764706,0.8152866242038217,0.11764705882352941,0.18471337579617833,4.142857142857143,False
350,2,0.05,6.0,0.9,0.8,2.0,0.0,4.0,0.0,0.0,1.0,0.27899855375289917,30,29,128,4,0.8823529411764706,0.8152866242038217,0.11764705882352941,0.18471337579617833,4.142857142857143,False
350,2,0.05,6.0,0.8,0.8,2.0,0.0,4.0,0.0,0.0,1.0,0.2765847444534302,30,29,128,4,0.8823529411764706,0.8152866242038217,0.11764705882352941,0.18471337579617833,4.142857142857143,False
350,2,0.05,6.0,0.9,0.8,2.0,0.0,4.0,0.0,0.0,0.5,0.27097365260124207,30,29,128,4,0.8823529411764706,0.8152866242038217,0.11764705882352941,0.18471337579617833,4.142857142857143,False
250,2,0.05,6.0,0.9,0.8,2.0,0.0,4.0,0.0,0.0,1.0,0.29372692108154297,30,30,127,4,0.8823529411764706,0.8089171974522293,0.11764705882352941,0.1910828025477707,4.285714285714286,False
350,2,0.05,6.0,0.9,0.8,6.0,0.0,5.0,0.0,0.0,0.5,0.28848186135292053,30,30,127,4,0.8823529411764706,0.8089171974522293,0.11764705882352941,0.1910828025477707,4.285714285714286,False
300,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.0,0.0,0.5,0.28834763169288635,30,30,127,4,0.8823529411764706,0.8089171974522293,0.11764705882352941,0.1910828025477707,4.285714285714286,False
300,2,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.0,0.0,0.5,0.2868042290210724,30,30,127,4,0.8823529411764706,0.8089171974522293,0.11764705882352941,0.1910828025477707,4.285714285714286,False
350,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.0,0.0,0.5,0.2662368714809418,30,30,127,4,0.8823529411764706,0.8089171974522293,0.11764705882352941,0.1910828025477707,4.285714285714286,False
350,2,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.0,0.0,1.0,0.26607128977775574,30,30,127,4,0.8823529411764706,0.8089171974522293,0.11764705882352941,0.1910828025477707,4.285714285714286,False
350,2,0.05,6.0,0.8,0.8,6.0,0.0,5.0,0.0,0.0,1.0,0.31725263595581055,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
300,2,0.05,6.0,0.9,0.7,6.0,0.0,4.0,0.0,0.0,0.5,0.2937253713607788,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
300,2,0.05,6.0,0.8,0.8,2.0,0.0,4.0,0.0,0.0,1.0,0.2857987880706787,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
350,2,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.0,0.0,0.5,0.28537634015083313,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
350,2,0.05,6.0,0.9,0.8,4.0,0.0,6.0,0.0,0.0,0.0,0.2816280126571655,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
350,2,0.05,6.0,0.9,0.7,6.0,0.0,4.0,0.0,0.0,0.5,0.2808297872543335,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
300,2,0.05,6.0,0.9,0.8,2.0,0.0,5.0,0.0,0.0,0.5,0.27356693148612976,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
350,2,0.05,6.0,0.9,0.8,4.0,0.0,5.0,0.0,0.0,1.0,0.26901400089263916,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
300,2,0.05,6.0,0.9,0.7,2.0,0.0,4.0,0.0,0.0,0.5,0.2678467035293579,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
250,2,0.05,6.0,0.9,0.8,4.0,0.0,6.0,0.0,0.0,0.0,0.33023935556411743,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
350,2,0.05,6.0,0.8,0.8,6.0,0.0,5.0,0.0,0.0,0.5,0.3104124367237091,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
350,2,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.0,0.0,0.0,0.2836555242538452,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
300,2,0.05,6.0,0.9,0.7,4.0,0.0,4.0,0.0,0.0,1.0,0.2830711305141449,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
300,2,0.05,6.0,0.9,0.8,2.0,0.0,5.0,0.0,0.0,1.0,0.27563968300819397,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
350,2,0.05,6.0,0.8,0.8,2.0,0.0,4.0,0.0,0.0,0.5,0.24139513075351715,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
350,2,0.05,6.0,0.8,0.8,2.0,0.0,4.0,0.0,0.0,0.0,0.23597024381160736,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
250,2,0.05,6.0,0.8,0.7,6.0,0.0,4.0,0.0,0.0,0.0,0.31121379137039185,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.8,0.8,6.0,0.0,6.0,0.0,0.0,0.5,0.3071276545524597,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.0,1.0,0.3040725886821747,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.0,0.5,0.3020923435688019,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
250,2,0.05,6.0,0.8,0.7,4.0,0.0,5.0,0.0,0.0,0.0,0.30016276240348816,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
250,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.0,0.0,1.0,0.29137176275253296,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.9,0.8,4.0,0.0,6.0,0.0,0.0,0.0,0.2854076027870178,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.8,0.7,6.0,0.0,5.0,0.0,0.0,0.0,0.2803860306739807,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.9,0.8,6.0,0.0,5.0,0.0,0.0,0.5,0.2802330553531647,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.0,0.0,0.0,0.2801677882671356,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
250,2,0.05,6.0,0.8,0.8,2.0,0.0,5.0,0.0,0.0,0.0,0.2741738259792328,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.0,0.0,1.0,0.27151796221733093,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.7,4.0,0.0,4.0,0.0,0.0,0.0,0.26605290174484253,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
250,2,0.05,6.0,0.8,0.8,2.0,0.0,4.0,0.0,0.0,0.0,0.25972357392311096,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.9,0.8,2.0,0.0,5.0,0.0,0.0,1.0,0.25735363364219666,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.9,0.7,4.0,0.0,4.0,0.0,0.0,0.0,0.2557780146598816,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.9,0.7,2.0,0.0,4.0,0.0,0.0,1.0,0.25471243262290955,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.9,0.7,4.0,0.0,5.0,0.0,0.0,0.0,0.2533063590526581,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.9,0.8,2.0,0.0,5.0,0.0,0.0,0.5,0.2468327134847641,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.9,0.8,4.0,0.0,5.0,0.0,0.0,0.5,0.2407938688993454,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.9,0.7,4.0,0.0,4.0,0.0,0.0,1.0,0.24023832380771637,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.9,0.7,4.0,0.0,4.0,0.0,0.0,0.5,0.24010132253170013,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.9,0.7,2.0,0.0,5.0,0.0,0.0,0.0,0.23424039781093597,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,4.0,0.8,0.7,2.0,0.0,4.0,0.0,0.0,0.0,0.17627140879631042,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
350,2,0.05,6.0,0.9,0.8,4.0,0.0,5.0,0.0,0.0,0.0,0.24804376065731049,31,34,123,3,0.9117647058823529,0.7834394904458599,0.08823529411764706,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.9,0.8,2.0,0.0,4.0,0.0,0.0,0.0,0.2306232452392578,31,34,123,3,0.9117647058823529,0.7834394904458599,0.08823529411764706,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,5.0,0.0,0.0,1.0,0.3230403661727905,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,8.0,0.0,0.0,0.0,0.31162455677986145,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,6.0,0.0,0.0,1.0,0.3091335594654083,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.0,0.0,0.30892083048820496,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.0,0.5,0.308188259601593,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.8,0.8,6.0,0.0,6.0,0.0,0.0,1.0,0.29946088790893555,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.9,0.8,6.0,0.0,5.0,0.0,0.0,0.5,0.289497047662735,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.0,0.5,0.28942087292671204,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.0,0.0,1.0,0.28899818658828735,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.9,0.7,6.0,0.0,5.0,0.0,0.0,0.0,0.27659207582473755,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.8,0.7,6.0,0.0,4.0,0.0,0.0,0.0,0.27407902479171753,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.0,0.0,0.0,0.2737482488155365,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.9,0.7,4.0,0.0,4.0,0.0,0.0,0.5,0.26305079460144043,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.9,0.8,4.0,0.0,5.0,0.0,0.0,0.0,0.26283204555511475,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.9,0.8,2.0,0.0,5.0,0.0,0.0,0.0,0.26076263189315796,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.8,0.8,4.0,0.0,5.0,0.0,0.0,0.0,0.25215232372283936,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.8,0.7,4.0,0.0,4.0,0.0,0.0,0.0,0.2518296539783478,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.9,0.8,2.0,0.0,4.0,0.0,0.0,0.0,0.24831852316856384,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.9,0.8,2.0,0.0,5.0,0.0,0.0,0.0,0.24295014142990112,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.9,0.8,2.0,0.0,5.0,0.0,0.0,0.0,0.23566214740276337,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.8,0.8,2.0,0.0,4.0,0.0,0.0,0.0,0.23136349022388458,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.9,0.7,2.0,0.0,4.0,0.0,0.0,0.5,0.22226227819919586,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
350,2,0.05,6.0,0.9,0.7,2.0,0.0,4.0,0.0,0.0,1.0,0.22177055478096008,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.0,0.0,0.0,0.2815413773059845,31,35,122,3,0.9117647058823529,0.7770700636942676,0.08823529411764706,0.2229299363057325,5.0,False
250,2,0.05,6.0,0.8,0.7,2.0,0.0,4.0,0.0,0.0,0.0,0.24147088825702667,31,35,122,3,0.9117647058823529,0.7770700636942676,0.08823529411764706,0.2229299363057325,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,5.0,0.0,0.0,0.5,0.31968066096305847,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,5.0,0.0,0.0,0.5,0.30468443036079407,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,5.0,0.0,0.0,1.0,0.30450382828712463,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
350,2,0.05,4.0,0.8,0.8,6.0,0.0,5.0,0.0,0.0,0.0,0.2173735499382019,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
250,2,0.05,6.0,0.9,0.7,2.0,0.0,4.0,0.0,0.0,1.0,0.360342413187027,29,24,133,5,0.8529411764705882,0.8471337579617835,0.14705882352941177,0.15286624203821655,5.0,False
250,2,0.05,6.0,0.9,0.7,6.0,0.0,4.0,0.0,0.0,0.5,0.356250524520874,29,25,132,5,0.8529411764705882,0.8407643312101911,0.14705882352941177,0.1592356687898089,5.0,False
300,2,0.05,6.0,0.9,0.7,6.0,0.0,4.0,0.0,0.0,1.0,0.34821847081184387,29,25,132,5,0.8529411764705882,0.8407643312101911,0.14705882352941177,0.1592356687898089,5.0,False
300,2,0.05,6.0,0.9,0.7,2.0,0.0,6.0,0.0,0.0,0.5,0.37606221437454224,29,26,131,5,0.8529411764705882,0.8343949044585988,0.14705882352941177,0.16560509554140126,5.0,False
250,2,0.05,6.0,0.9,0.7,2.0,0.0,5.0,0.0,0.0,1.0,0.36591479182243347,29,26,131,5,0.8529411764705882,0.8343949044585988,0.14705882352941177,0.16560509554140126,5.0,False
250,2,0.05,6.0,0.9,0.7,4.0,0.0,4.0,0.0,0.0,1.0,0.3581712245941162,29,26,131,5,0.8529411764705882,0.8343949044585988,0.14705882352941177,0.16560509554140126,5.0,False
300,2,0.05,6.0,0.9,0.7,2.0,0.0,5.0,0.0,0.0,1.0,0.34066736698150635,29,26,131,5,0.8529411764705882,0.8343949044585988,0.14705882352941177,0.16560509554140126,5.0,False
350,2,0.05,6.0,0.9,0.7,6.0,0.0,4.0,0.0,0.0,1.0,0.3294360339641571,29,26,131,5,0.8529411764705882,0.8343949044585988,0.14705882352941177,0.16560509554140126,5.0,False
250,2,0.05,6.0,0.9,0.8,2.0,0.0,4.0,0.0,0.0,0.0,0.3265177011489868,29,26,131,5,0.8529411764705882,0.8343949044585988,0.14705882352941177,0.16560509554140126,5.0,False
250,2,0.05,6.0,0.9,0.7,2.0,0.0,6.0,0.0,0.0,0.5,0.378851979970932,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,6.0,0.9,0.7,4.0,0.0,6.0,0.0,0.0,1.0,0.3750878870487213,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,6.0,0.9,0.7,4.0,0.0,5.0,0.0,0.0,0.5,0.3671993613243103,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
350,2,0.05,6.0,0.9,0.7,6.0,0.0,5.0,0.0,0.0,1.0,0.3606933057308197,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
