model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.8,3.0,0.0,0.40735769271850586,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,50,2,0.03,2.0,0.9,0.8,3.0,0.0,0.4020916819572449,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,2,0.05,2.0,0.9,0.8,3.0,0.0,0.3596145808696747,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,150,3,0.03,2.0,0.9,0.8,3.0,0.0,0.29342731833457947,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,3,0.05,2.0,0.9,0.8,3.0,0.0,0.35098519921302795,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,100,3,0.05,2.0,0.9,0.8,3.0,0.0,0.2989203929901123,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,50,3,0.1,2.0,0.9,0.8,3.0,0.0,0.27282920479774475,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,150,3,0.1,2.0,0.9,0.8,3.0,0.0,0.20270942151546478,29,21,5,136,0.8529411764705882,0.8662420382165605
logreg,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09774692201910969,29,21,5,136,0.8529411764705882,0.8662420382165605
logreg,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.025821295491978032,29,21,5,136,0.8529411764705882,0.8662420382165605
logreg,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036024292159820785,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,100,3,0.03,2.0,0.9,0.8,3.0,0.0,0.32082125544548035,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,100,2,0.03,2.0,0.9,0.8,3.0,0.0,0.3167111277580261,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,150,2,0.03,2.0,0.9,0.8,3.0,0.0,0.2904803156852722,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,100,2,0.05,2.0,0.9,0.8,3.0,0.0,0.27870792150497437,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,50,2,0.1,2.0,0.9,0.8,3.0,0.0,0.2741868793964386,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,150,3,0.05,2.0,0.9,0.8,3.0,0.0,0.24899140000343323,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,150,2,0.05,2.0,0.9,0.8,3.0,0.0,0.23934407532215118,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,100,3,0.1,2.0,0.9,0.8,3.0,0.0,0.2273164540529251,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,100,2,0.1,2.0,0.9,0.8,3.0,0.0,0.20562492311000824,29,22,5,135,0.8529411764705882,0.8598726114649682
logreg,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.19983732352603234,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,150,2,0.1,2.0,0.9,0.8,3.0,0.0,0.16956037282943726,29,22,5,135,0.8529411764705882,0.8598726114649682
dtree,0.0,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,29,25,5,132,0.8529411764705882,0.8407643312101911
dtree,0.0,1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,29,25,5,132,0.8529411764705882,0.8407643312101911
dtree,0.0,2,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,25,5,132,0.8529411764705882,0.8407643312101911
dtree,0.0,2,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,25,5,132,0.8529411764705882,0.8407643312101911
dtree,0.0,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,25,5,132,0.8529411764705882,0.8407643312101911
dtree,0.0,3,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,25,5,132,0.8529411764705882,0.8407643312101911
