n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
250,2,0.05,6.0,0.8,0.7,6.0,0.0,4.0,0.31121379137039185,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.2801677882671356,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.7,4.0,0.0,4.0,0.26605290174484253,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.30892083048820496,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.2857220768928528,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.8,0.7,6.0,0.0,4.0,0.27407902479171753,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,3,0.05,6.0,0.9,0.7,4.0,0.0,4.0,0.2613580822944641,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,3,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.2555815279483795,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,3,0.05,6.0,0.8,0.8,4.0,0.0,3.5,0.25265079736709595,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,3,0.05,6.0,0.9,0.7,4.0,0.0,3.5,0.24245557188987732,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.2815413773059845,31,35,122,3,0.9117647058823529,0.7770700636942676,0.08823529411764706,0.2229299363057325,5.0,False
250,3,0.05,6.0,0.8,0.7,6.0,0.0,4.5,0.3095181882381439,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
250,2,0.05,6.0,0.9,0.8,6.0,0.0,3.5,0.2915903329849243,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
250,3,0.05,6.0,0.8,0.8,6.0,0.0,3.5,0.28975629806518555,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,3.5,0.28508666157722473,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
250,3,0.05,6.0,0.8,0.7,4.0,0.0,3.5,0.2440575659275055,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
300,3,0.05,6.0,0.8,0.7,4.0,0.0,3.5,0.2156936675310135,30,35,122,4,0.8823529411764706,0.7770700636942676,0.11764705882352941,0.2229299363057325,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.3790736496448517,29,25,132,5,0.8529411764705882,0.8407643312101911,0.14705882352941177,0.1592356687898089,5.0,False
300,3,0.05,4.0,0.9,0.7,4.0,0.0,4.5,0.2404668778181076,29,25,132,5,0.8529411764705882,0.8407643312101911,0.14705882352941177,0.1592356687898089,5.0,False
300,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.33307963609695435,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
300,3,0.05,6.0,0.9,0.8,4.0,0.0,4.5,0.32647061347961426,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,4.0,0.8,0.7,4.0,0.0,3.5,0.2813137173652649,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,4.0,0.8,0.8,4.0,0.0,3.5,0.25321242213249207,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,3,0.05,6.0,0.9,0.8,4.0,0.0,4.5,0.339587539434433,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
250,3,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.339317262172699,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,3,0.05,6.0,0.9,0.8,6.0,0.0,4.5,0.3308805823326111,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,3,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.3146907687187195,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,2,0.05,6.0,0.9,0.8,4.0,0.0,4.5,0.3146754801273346,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,3,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.30824989080429077,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,2,0.05,4.0,0.8,0.7,6.0,0.0,4.0,0.2876097857952118,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
250,2,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.34130728244781494,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,4.0,0.8,0.8,4.0,0.0,4.5,0.30996280908584595,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,4.0,0.8,0.7,6.0,0.0,4.0,0.29775044322013855,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,4.0,0.8,0.7,4.0,0.0,4.5,0.280826210975647,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,4.0,0.8,0.8,4.0,0.0,4.0,0.2783263623714447,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,3,0.05,4.0,0.9,0.8,6.0,0.0,3.5,0.26467084884643555,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,3,0.05,4.0,0.9,0.7,6.0,0.0,3.5,0.258942186832428,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
300,3,0.05,4.0,0.9,0.7,6.0,0.0,3.5,0.25207704305648804,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,3,0.05,4.0,0.9,0.8,4.0,0.0,3.5,0.24429626762866974,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
300,3,0.05,4.0,0.9,0.8,6.0,0.0,4.0,0.24396614730358124,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,3,0.05,4.0,0.9,0.7,4.0,0.0,4.5,0.24187101423740387,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
300,3,0.05,4.0,0.9,0.7,6.0,0.0,4.0,0.2399597465991974,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
300,3,0.05,4.0,0.9,0.8,6.0,0.0,3.5,0.23978355526924133,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
300,2,0.05,4.0,0.9,0.7,4.0,0.0,3.5,0.23439492285251617,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,3,0.05,4.0,0.9,0.7,4.0,0.0,4.0,0.2281469702720642,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
300,3,0.05,4.0,0.9,0.8,4.0,0.0,3.5,0.22777482867240906,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
300,3,0.05,4.0,0.9,0.8,4.0,0.0,4.0,0.22483085095882416,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
300,3,0.05,4.0,0.9,0.7,4.0,0.0,4.0,0.21421903371810913,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
