n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.1,0.0,0.0,0.2558079659938812,30,30,127,4,0.8823529411764706,0.8089171974522293,0.11764705882352941,0.1910828025477707,4.285714285714286,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.2,0.0,0.0,0.24125896394252777,30,30,127,4,0.8823529411764706,0.8089171974522293,0.11764705882352941,0.1910828025477707,4.285714285714286,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.35,0.0,0.0,0.19800449907779694,30,30,127,4,0.8823529411764706,0.8089171974522293,0.11764705882352941,0.1910828025477707,4.285714285714286,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.1,0.0,0.2,0.25559669733047485,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.2,0.0,0.0,0.22531041502952576,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.2,0.0,0.2,0.20357748866081238,30,31,126,4,0.8823529411764706,0.802547770700637,0.11764705882352941,0.19745222929936307,4.428571428571429,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.0,0.2,0.3125360906124115,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.1,0.0,0.2,0.26431727409362793,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.5,0.2,0.2634594440460205,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.5,0.0,0.2593390643596649,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
