model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.30575188994407654,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,50,2,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.3054656386375427,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,50,2,0.05,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.22275401651859283,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,50,3,0.05,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.22256097197532654,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,100,2,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.21466845273971558,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,100,3,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.20986230671405792,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,150,3,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.1595166176557541,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,150,2,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.15718984603881836,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,100,3,0.05,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.13120657205581665,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,100,2,0.05,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.1272973269224167,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,50,3,0.1,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.11589066684246063,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,50,2,0.1,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.11155311018228531,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,150,3,0.05,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.10090821236371994,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,150,2,0.05,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.09161285310983658,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,100,3,0.1,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.059954505413770676,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,100,2,0.1,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.05515274032950401,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,150,3,0.1,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.04138202220201492,29,24,5,133,0.8529411764705882,0.8471337579617835
xgboost,0.0,0,0,150,2,0.1,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.04025132954120636,29,24,5,133,0.8529411764705882,0.8471337579617835
