model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.48879483342170715,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.48879483342170715,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.48879483342170715,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.48879483342170715,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.47041618824005127,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.47041618824005127,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.4703528583049774,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.4703528583049774,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,3,0.02,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.4659251570701599,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,4,0.02,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.4659251570701599,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,3,0.02,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.46521222591400146,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,4,0.02,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.46521222591400146,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,3,0.02,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.45416462421417236,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,4,0.02,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.45416462421417236,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.43789657950401306,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.43789657950401306,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.43789657950401306,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.43789657950401306,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,3,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.43303945660591125,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,4,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.43303945660591125,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,3,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.43198883533477783,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,50,4,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.43198883533477783,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.40502479672431946,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.40502479672431946,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.4045286178588867,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.4045286178588867,29,20,5,137,0.8529411764705882,0.8726114649681529
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.4871307611465454,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.4871307611465454,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,30,4,0.02,1.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.48212701082229614,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.48206934332847595,29,21,5,136,0.8529411764705882,0.8662420382165605
