model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,threshold,tp,fp,fn,tn,sens,spec
logreg,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.021055591685199118,30,28,4,129,0.8823529411764706,0.821656050955414
logreg,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.06507148370115547,30,29,4,128,0.8823529411764706,0.8152866242038217
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.35789555311203003,30,30,4,127,0.8823529411764706,0.8089171974522293
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.35789555311203003,30,30,4,127,0.8823529411764706,0.8089171974522293
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.3610657751560211,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.3610657751560211,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.35870516300201416,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.35870516300201416,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.35668081045150757,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.35668081045150757,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.35161828994750977,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.35161828994750977,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.3419308364391327,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,50,3,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.3397856056690216,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,50,4,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.3397856056690216,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.33899766206741333,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.33899766206741333,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.33298176527023315,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.33298176527023315,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.03,1.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.2768595814704895,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.03,1.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.2768595814704895,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.03,1.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.2758033871650696,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.03,1.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.2758033871650696,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.38206079602241516,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.38206079602241516,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.3737201690673828,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.3722035586833954,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.3466980457305908,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.9,3.0,0.2,0,0,0.0,0.0,0.3466980457305908,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.3466980457305908,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.9,3.0,0.2,0,0,0.0,0.0,0.3466980457305908,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.34573397040367126,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.34573397040367126,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.3452097475528717,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.3452097475528717,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.3419308364391327,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.02,1.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.3260517120361328,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.3258112967014313,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.3258112967014313,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.3252623975276947,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.3252623975276947,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.3239736258983612,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.3239736258983612,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.3070794641971588,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.3070794641971588,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.301692396402359,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.301692396402359,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.29880815744400024,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.29880815744400024,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.2986341714859009,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.2986341714859009,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.29312261939048767,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.29312261939048767,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,1.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.2911489009857178,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,1.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.2911489009857178,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.2869025468826294,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.2869025468826294,30,32,4,125,0.8823529411764706,0.7961783439490446
