model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.24706070125102997,32,49,2,108,0.9411764705882353,0.6878980891719745
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.24690333008766174,32,49,2,108,0.9411764705882353,0.6878980891719745
logreg,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.009137573477366484,32,49,2,108,0.9411764705882353,0.6878980891719745
xgboost,0.0,0,0,50,3,0.02,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.27738916873931885,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,50,4,0.02,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.27738916873931885,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.24606876075267792,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,50,4,0.03,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.20744052529335022,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,50,3,0.03,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.20634569227695465,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,50,3,0.03,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.20629848539829254,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,50,4,0.03,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.2056228518486023,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.1992102414369583,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.1991197168827057,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.19895894825458527,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.19876985251903534,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.9,3.0,0.2,0,0,0.0,0.0,0.1977560669183731,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.9,3.0,0.2,0,0,0.0,0.0,0.1974639594554901,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.19117289781570435,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.18576033413410187,32,50,2,107,0.9411764705882353,0.6815286624203821
catboost,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,0.05,3.0,0.059938232375511116,32,50,2,107,0.9411764705882353,0.6815286624203821
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.2995242476463318,32,51,2,106,0.9411764705882353,0.6751592356687898
