model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.2849361002445221,31,30,3,127,0.9117647058823529,0.8089171974522293
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.2849361002445221,31,30,3,127,0.9117647058823529,0.8089171974522293
xgboost,0.0,0,0,80,3,0.02,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.2756483554840088,31,30,3,127,0.9117647058823529,0.8089171974522293
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.24786999821662903,31,30,3,127,0.9117647058823529,0.8089171974522293
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.24771222472190857,31,30,3,127,0.9117647058823529,0.8089171974522293
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.2367749810218811,31,30,3,127,0.9117647058823529,0.8089171974522293
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.2367749810218811,31,30,3,127,0.9117647058823529,0.8089171974522293
xgboost,0.0,0,0,50,3,0.02,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.33243343234062195,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,50,3,0.02,2.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.33215242624282837,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.32424476742744446,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.32424476742744446,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.32256123423576355,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.31999292969703674,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.28200024366378784,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.28200024366378784,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,80,4,0.02,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.27605271339416504,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.2749258875846863,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.2749258875846863,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,80,4,0.02,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.273396372795105,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.27273303270339966,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,80,4,0.02,2.0,0.9,0.9,1.0,0.2,0,0,0.0,0.0,0.27087903022766113,31,31,3,126,0.9117647058823529,0.802547770700637
logreg,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00952249663367375,31,31,3,126,0.9117647058823529,0.802547770700637
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.4157850444316864,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.4157850444316864,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.39098602533340454,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.39098602533340454,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.3901708126068115,31,32,3,125,0.9117647058823529,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.3901708126068115,31,32,3,125,0.9117647058823529,0.7961783439490446
