model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,threshold,tp,fp,fn,tn,sens,spec
logreg,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00611153448932237,30,27,4,130,0.8823529411764706,0.8280254777070064
logreg,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18680855411702546,30,28,4,129,0.8823529411764706,0.821656050955414
logreg,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08132674402528987,30,28,4,129,0.8823529411764706,0.821656050955414
logreg,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02614731215132676,30,28,4,129,0.8823529411764706,0.821656050955414
dtree,0.0,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,30,31,4,126,0.8823529411764706,0.802547770700637
dtree,0.0,1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.05,2.0,0.85,0.8,1.0,0.0,0.25209707021713257,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,4,0.05,2.0,0.85,0.8,1.0,0.0,0.25209707021713257,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.05,2.0,0.85,0.8,1.0,0.2,0.24932263791561127,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,4,0.05,2.0,0.85,0.8,1.0,0.2,0.24932263791561127,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,50,3,0.05,2.0,0.85,0.8,1.0,0.2,0.1767253279685974,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,50,4,0.05,2.0,0.85,0.8,1.0,0.2,0.1767253279685974,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,50,3,0.05,2.0,0.85,0.8,1.0,0.0,0.17392678558826447,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,50,4,0.05,2.0,0.85,0.8,1.0,0.0,0.17392678558826447,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.8,3.0,0.0,0.1645747870206833,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.8,3.0,0.0,0.1645747870206833,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.8,3.0,0.0,0.1623217761516571,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.8,3.0,0.0,0.1623217761516571,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.8,3.0,0.2,0.15383662283420563,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.8,3.0,0.2,0.15383662283420563,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.8,1.0,0.0,0.13438522815704346,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.8,1.0,0.0,0.13438522815704346,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.8,1.0,0.2,0.12772709131240845,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.8,1.0,0.2,0.12772709131240845,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.8,1.0,0.0,0.11440958827733994,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.8,1.0,0.2,0.11440958827733994,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.8,1.0,0.0,0.11440958827733994,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.8,1.0,0.2,0.11440958827733994,30,31,4,126,0.8823529411764706,0.802547770700637
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.9,3.0,0.2,0.3400895893573761,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.9,3.0,0.2,0.3400895893573761,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,1.0,0.0,0.3198302090167999,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,1.0,0.0,0.3198302090167999,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,1.0,0.2,0.3158063590526581,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,1.0,0.2,0.3158063590526581,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.8,6.0,0.0,0.2941323518753052,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.8,6.0,0.0,0.2941323518753052,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.8,3.0,0.2,0.2932559549808502,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.8,3.0,0.2,0.2932559549808502,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.05,2.0,0.9,0.8,3.0,0.0,0.29148516058921814,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.05,2.0,0.9,0.8,3.0,0.0,0.29148516058921814,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.05,2.0,0.9,0.8,3.0,0.2,0.28239670395851135,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.05,2.0,0.9,0.8,3.0,0.2,0.28239670395851135,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.05,2.0,0.9,0.9,3.0,0.2,0.27768146991729736,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.05,2.0,0.9,0.9,3.0,0.2,0.27768146991729736,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.05,2.0,0.9,0.9,3.0,0.0,0.27615073323249817,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.05,2.0,0.9,0.9,3.0,0.0,0.27615073323249817,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,3,0.03,2.0,0.85,0.8,1.0,0.0,0.2503789961338043,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.03,2.0,0.85,0.8,1.0,0.0,0.2503789961338043,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.05,2.0,0.9,0.8,1.0,0.0,0.23771676421165466,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.05,2.0,0.9,0.8,1.0,0.2,0.23771676421165466,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.05,2.0,0.9,0.8,1.0,0.0,0.23771676421165466,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.05,2.0,0.9,0.8,1.0,0.2,0.23771676421165466,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.8,3.0,0.0,0.23135580122470856,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.8,3.0,0.0,0.23135580122470856,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.9,1.0,0.2,0.22893783450126648,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.9,1.0,0.2,0.22893783450126648,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.9,3.0,0.0,0.22796905040740967,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.9,3.0,0.0,0.22796905040740967,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.8,6.0,0.2,0.22728998959064484,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.8,6.0,0.2,0.22728998959064484,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.8,3.0,0.2,0.22683055698871613,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.8,3.0,0.2,0.22683055698871613,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.9,3.0,0.2,0.22568263113498688,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.9,3.0,0.2,0.22568263113498688,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.9,1.0,0.0,0.22382226586341858,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.8,6.0,0.0,0.22318148612976074,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.8,6.0,0.0,0.22318148612976074,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.9,3.0,0.2,0.22176575660705566,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.9,3.0,0.2,0.22176575660705566,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,3,0.05,2.0,0.9,0.8,3.0,0.0,0.21946386992931366,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.05,2.0,0.9,0.8,3.0,0.0,0.21946386992931366,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.9,6.0,0.2,0.21609362959861755,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.9,6.0,0.2,0.21609362959861755,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.02,1.0,0.85,0.9,1.0,0.0,0.21283981204032898,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.8,6.0,0.0,0.21222244203090668,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.8,6.0,0.0,0.21222244203090668,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,3,0.05,2.0,0.85,0.9,3.0,0.0,0.21027742326259613,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.05,2.0,0.85,0.9,3.0,0.0,0.21027742326259613,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,3,0.05,2.0,0.85,0.9,3.0,0.2,0.20912931859493256,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.05,2.0,0.85,0.9,3.0,0.2,0.20912931859493256,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,3,0.05,2.0,0.9,0.9,3.0,0.2,0.20811417698860168,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.05,2.0,0.9,0.9,3.0,0.2,0.20811417698860168,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.8,6.0,0.2,0.20719946920871735,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.8,6.0,0.2,0.20719946920871735,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,4,0.05,1.0,0.85,0.9,1.0,0.0,0.18997667729854584,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.8,1.0,0.0,0.18682286143302917,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.8,1.0,0.0,0.18682286143302917,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.9,1.0,0.0,0.1836363673210144,30,32,4,125,0.8823529411764706,0.7961783439490446
